1,2,3,4,5,6
Chad Henne,QB,KC,12
-0.2,-0.2,-0.2,-0.2,-0.2,1
-0.30000000000000004,-0.275,-0.25,-0.25,-0.2,2
1.46,1.46,1.46,1.46,1.46,1
