1,2,3,4,5,6
Albert Wilson,WR,MIA,5
0.2,1.15,3.0625,4.9750000000000005,13.0,12
1.65,3.1500000000000004,5.4625,7.775,13.5,12
2.1,4.68,8.336,13.712,27.0,7
