Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Eddy Pineiro,Florida,SEC,11,24,26,92.3,17,18,94.4,75
Griffin Oakes,Indiana,Big Ten,12,38,39,97.4,16,17,94.1,86
Trevor Moore,North Texas,CUSA,14,55,55,100.0,20,22,90.9,115
Rafael Gaglianone,Wisconsin,Big Ten,14,59,59,100.0,16,18,88.9,107
Matt Gay,Utah,Pac-12,13,40,40,100.0,30,34,88.2,130
Tucker McCann,Missouri,SEC,12,51,53,96.2,15,17,88.2,96
Rodrigo Blankenship,Georgia,SEC,15,63,63,100.0,20,23,87.0,123
Logan Laurent,Massachusetts,Ind,12,29,31,93.5,13,15,86.7,68
Jared Sackett,UTSA,CUSA,10,23,24,95.8,19,22,86.4,80
Daniel LaCamera,Texas A&M,SEC,13,51,52,98.1,18,21,85.7,105
Ricky Aguayo,Florida State,ACC,13,42,43,97.7,18,21,85.7,96
Drew Brown,Nebraska,Big Ten,12,37,37,100.0,12,14,85.7,73
Jace Christman,Mississippi State,SEC,13,42,42,100.0,12,14,85.7,78
Blaton Creque,Louisville,ACC,13,58,59,98.3,17,20,85.0,109
Gabriel Rui,Kansas,Big 12,10,23,23,100.0,17,20,85.0,74
Parker Shaunfield,Southern Mississippi,CUSA,13,42,44,95.5,17,20,85.0,93
Miguel Recinos,Iowa,Big Ten,13,44,44,100.0,11,13,84.6,77
Gavin Patterson,South Alabama,Sun Belt,11,26,27,96.3,16,19,84.2,74
Emilio Nadelman,South Florida,American,12,52,56,92.9,21,25,84.0,115
Mike Weaver,Wake Forest,ACC,13,52,56,92.9,21,25,84.0,115
Jameson Vest,Toledo,MAC,13,56,58,96.6,25,30,83.3,131
Connor Martin,Baylor,Big 12,12,29,30,96.7,20,24,83.3,89
Erik Powell,Washington State,Pac-12,13,46,47,97.9,20,24,83.3,106
Cooper Rothe,Wyoming,MWC,13,36,37,97.3,15,18,83.3,81
Jose Borregales,Florida International,CUSA,13,40,40,100.0,15,18,83.3,85
Louie Zervos,Ohio,MAC,13,61,64,95.3,15,18,83.3,106
Wyatt Bryan,Colorado State,MWC,13,53,55,96.4,15,18,83.3,98
Bryce Crawford,San Jose State,MWC,12,20,24,83.3,14,17,82.4,62
Canon Rooker,Middle Tennessee State,CUSA,13,39,41,95.1,14,17,82.4,81
Jake Suder,Bowling Green State,MAC,12,32,33,97.0,18,22,81.8,86
Charlie Kuhbander,Northwestern,Big Ten,13,43,44,97.7,13,16,81.3,82
Austin Parker,Duke,ACC,12,33,35,94.3,17,21,81.0,84
Austin Seibert,Oklahoma,Big 12,14,81,81,100.0,17,21,81.0,132
Gary Wunderlich,Ole Miss,SEC,11,34,36,94.4,17,21,81.0,85
JJ Molson,UCLA,Pac-12,13,49,50,98.0,17,21,81.0,100
Sean Nuernberger,Ohio State,Big Ten,14,71,71,100.0,17,21,81.0,122
Jet Toner,Stanford,Pac-12,14,54,54,100.0,21,26,80.8,117
Matthew McCrane,Kansas State,Big 12,13,48,48,100.0,21,26,80.8,111
Caden Novikoff,Houston,American,12,43,43,100.0,12,15,80.0,79
John Baron,San Diego State,MWC,13,52,52,100.0,12,15,80.0,88
Matt Ammendola,Oklahoma State,Big 12,13,70,70,100.0,23,29,79.3,139
Quinn Nordin,Michigan,Big Ten,13,35,38,92.1,19,24,79.2,92
Matt Coghlin,Michigan State,Big Ten,13,38,38,100.0,15,19,78.9,83
Tyler Bass,Georgia Southern,Sun Belt,12,27,28,96.4,15,19,78.9,72
Austin Macginnis,Kentucky,SEC,13,36,36,100.0,22,28,78.6,102
Haden Hoggarth,Boise State,MWC,14,57,57,100.0,18,23,78.3,111
Jimmy Camacho,Fresno State,MWC,14,41,42,97.6,25,32,78.1,116
Justin Yoon,Notre Dame,Ind,12,55,55,100.0,14,18,77.8,97
Evan Pantels,UNLV,MWC,9,28,28,100.0,17,22,77.3,79
Garrett Owens,Iowa State,Big 12,13,45,45,100.0,17,22,77.3,96
James Stefanou,Colorado,Pac-12,11,35,35,100.0,17,22,77.3,86
Craig Ford,Louisiana-Monroe,Sun Belt,12,45,47,95.7,10,13,76.9,75
Dylan Brown,New Mexico State,Sun Belt,13,39,42,92.9,13,17,76.5,78
Nick Vogel,UAB,CUSA,13,40,42,95.2,13,17,76.5,79
Jonathan Barnes,Louisiana Tech,CUSA,13,43,46,93.5,25,33,75.8,118
Dominik Eberle,Utah State,MWC,13,47,47,100.0,18,24,75.0,101
Nick Rice,Old Dominion,CUSA,11,27,27,100.0,15,20,75.0,72
Redford Jones,Tulsa,American,12,44,45,97.8,12,16,75.0,80
Samuel Sloman,Miami (OH),MAC,12,35,36,97.2,12,16,75.0,71
Luke Strebel,Air Force,MWC,12,43,43,100.0,9,12,75.0,70
Daniel Carlson,Auburn,SEC,14,57,57,100.0,23,31,74.2,126
Cole Murphy,Syracuse,ACC,12,34,35,97.1,20,27,74.1,94
Matt Anderson,California,Pac-12,12,35,36,97.2,20,27,74.1,95
Michael Badgley,Miami (FL),ACC,13,45,46,97.8,17,23,73.9,96
Josh Pollack,Arizona,Pac-12,13,65,67,97.0,11,15,73.3,98
Sawyer Williams,Arkansas State,Sun Belt,12,48,53,90.6,16,22,72.7,96
Matthew Wright,UCF,American,13,80,81,98.8,13,18,72.2,119
Andy Pappanastos,Alabama,SEC,13,56,56,100.0,18,25,72.0,110
Greg Joseph,Florida Atlantic,CUSA,14,64,68,94.1,15,21,71.4,109
Paul Fricano,Eastern Michigan,MAC,12,34,36,94.4,15,21,71.4,79
Stevie Artigue,Louisiana,Sun Belt,12,31,37,83.8,10,14,71.4,61
Cade Coffey,Idaho,Sun Belt,12,29,30,96.7,12,17,70.6,65
Chase McGrath,USC,Pac-12,14,58,59,98.3,12,17,70.6,94
Chase McLaughlin,Illinois,Big Ten,12,17,17,100.0,12,17,70.6,53
Brandon Ruiz,Arizona State,Pac-12,13,49,50,98.0,19,27,70.4,106
Emmit Carpenter,Minnesota,Big Ten,11,31,31,100.0,14,20,70.0,73
Josh Williams,SMU,American,12,44,49,89.8,14,20,70.0,86
J.D. Dillinger,Purdue,Big Ten,12,19,19,100.0,9,13,69.2,46
Connor Culp,LSU,SEC,9,20,23,87.0,11,16,68.8,53
Riley Patterson,Memphis,American,12,63,64,98.4,11,16,68.8,96
Rhett Almond,Brigham Young,Ind,12,22,23,95.7,13,19,68.4,61
Joey Slye,Virginia Tech,ACC,11,37,37,100.0,15,22,68.2,82
Michael Tarbutt,Connecticut,American,11,27,29,93.1,12,18,66.7,63
Jason Sanders,New Mexico,MWC,12,28,28,100.0,10,15,66.7,58
