Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Chatarius Atwell,Louisville,ACC,10,24,406,16.9,2,1,-5,-5.0,0,25,401,16.0,2
JJ Arcega-Whiteside,Stanford,Pac-12,12,63,1059,16.8,14,0,0,,0,63,1059,16.8,14
K.J. Osborn,Buffalo,MAC,13,53,892,16.8,7,5,16,3.2,0,58,908,15.7,7
Colby Parkinson,Stanford,Pac-12,13,29,485,16.7,7,0,0,,0,29,485,16.7,7
Terry Wright,Purdue,Big Ten,9,28,468,16.7,5,1,1,1.0,1,29,469,16.2,6
Andy Isabella,Massachusetts,Ind,12,102,1698,16.6,13,11,79,7.2,1,113,1777,15.7,14
Nico Collins,Michigan,Big Ten,13,38,632,16.6,6,0,0,,0,38,632,16.6,6
La'Michael Pettway,Arkansas,SEC,11,30,499,16.6,4,0,0,,0,30,499,16.6,4
Terren Encalade,Tulane,American,13,44,727,16.5,5,5,56,11.2,0,49,783,16.0,5
Devonta Smith,Alabama,SEC,13,42,693,16.5,6,0,0,,0,42,693,16.5,6
Andre Wilson,UAB,CUSA,14,32,529,16.5,5,7,104,14.9,1,39,633,16.2,6
Anthony Ratliff-Williams,North Carolina,ACC,11,42,689,16.4,2,11,83,7.5,1,53,772,14.6,3
Osirus Mitchell,Mississippi State,SEC,10,26,427,16.4,4,0,0,,0,26,427,16.4,4
Damonte Coxie,Memphis,American,14,72,1174,16.3,7,0,0,,0,72,1174,16.3,7
Kwadarrius Smith,Akron,MAC,11,33,538,16.3,3,8,24,3.0,0,41,562,13.7,3
A.J. Taylor,Wisconsin,Big Ten,11,32,521,16.3,3,0,0,,0,32,521,16.3,3
Dalton Schoen,Kansas State,Big 12,11,32,520,16.3,2,0,0,,0,32,520,16.3,2
John Hightower,Boise State,MWC,9,31,504,16.3,6,8,163,20.4,2,39,667,17.1,8
Scott Miller,Bowling Green State,MAC,11,71,1148,16.2,9,4,16,4.0,0,75,1164,15.5,9
Justin Jefferson,LSU,SEC,13,54,875,16.2,6,5,26,5.2,0,59,901,15.3,6
Isaac Zico,Purdue,Big Ten,12,46,743,16.2,6,0,0,,0,46,743,16.2,6
Caleb Wilson,UCLA,Pac-12,11,60,965,16.1,4,1,4,4.0,0,61,969,15.9,4
Henry Ruggs III,Alabama,SEC,14,46,741,16.1,11,0,0,,0,46,741,16.1,11
Irv Smith Jr,Alabama,SEC,15,44,710,16.1,7,0,0,,0,44,710,16.1,7
Jeff Thomas,Miami (FL),ACC,11,35,563,16.1,3,1,19,19.0,0,36,582,16.2,3
Zach Gentry,Michigan,Big Ten,12,32,514,16.1,2,0,0,,0,32,514,16.1,2
Jamire Jordan,Fresno State,MWC,14,27,434,16.1,3,0,0,,0,27,434,16.1,3
Antoine Wesley,Texas Tech,Big 12,12,88,1410,16.0,9,1,-2,-2.0,0,89,1408,15.8,9
Dredrick Snelson,UCF,American,12,43,688,16.0,5,1,4,4.0,0,44,692,15.7,5
Marquez Callaway,Tennessee,SEC,11,37,592,16.0,2,0,0,,0,37,592,16.0,2
Jacquez Sloan,Western Kentucky,CUSA,9,31,495,16.0,0,2,4,2.0,0,33,499,15.1,0
Chris Autman-Bell,Minnesota,Big Ten,12,28,449,16.0,0,0,0,,0,28,449,16.0,0
Keith Gavin,Florida State,ACC,9,26,415,16.0,1,0,0,,0,26,415,16.0,1
Papi White,Ohio,MAC,13,62,987,15.9,9,3,24,8.0,1,65,1011,15.6,10
Tee Higgins,Clemson,ACC,15,59,936,15.9,12,0,0,,0,59,936,15.9,12
Tyron Johnson,Oklahoma State,Big 12,13,53,845,15.9,7,1,1,1.0,1,54,846,15.7,8
Johnnie Dixon,Ohio State,Big Ten,13,42,669,15.9,8,0,0,,0,42,669,15.9,8
Kobay White,Boston College,ACC,12,33,526,15.9,3,5,0,0.0,0,38,526,13.8,3
Dillon Mitchell,Oregon,Pac-12,13,75,1184,15.8,10,1,5,5.0,0,76,1189,15.6,10
Ty Jones,Washington,Pac-12,13,31,491,15.8,6,0,0,,0,31,491,15.8,6
Damon Hazelton Jr,Virginia Tech,ACC,13,51,802,15.7,8,1,4,4.0,0,52,806,15.5,8
Jalen Greene,Utah State,MWC,11,44,689,15.7,6,0,0,,0,44,689,15.7,6
Damion Willis,Troy,Sun Belt,11,56,876,15.6,10,0,0,,0,56,876,15.6,10
A.J. Brown,Ole Miss,SEC,12,85,1320,15.5,6,0,0,,0,85,1320,15.5,6
Jared Pinkney,Vanderbilt,SEC,13,50,774,15.5,7,0,0,,0,50,774,15.5,7
Diontae Johnson,Toledo,MAC,13,49,761,15.5,8,2,17,8.5,0,51,778,15.3,8
T.J. Hockenson,Iowa,Big Ten,13,49,760,15.5,6,1,4,4.0,1,50,764,15.3,7
Mecole Hardman,Georgia,SEC,14,35,543,15.5,7,5,36,7.2,0,40,579,14.5,7
Jalen Knox,Missouri,SEC,10,27,419,15.5,3,3,11,3.7,0,30,430,14.3,3
Bryan Edwards,South Carolina,SEC,13,55,846,15.4,7,0,0,,0,55,846,15.4,7
Gabriel Davis,UCF,American,12,53,815,15.4,7,0,0,,0,53,815,15.4,7
Reggie Roberson Jr.,SMU,American,10,52,802,15.4,6,3,10,3.3,0,55,812,14.8,6
Malcolm Williams,Coastal Carolina,Sun Belt,11,47,724,15.4,5,10,22,2.2,1,57,746,13.1,6
Courtney Lark,Houston,American,9,35,539,15.4,5,0,0,,0,35,539,15.4,5
Delane Hart-Johnson,New Mexico,MWC,11,33,507,15.4,5,0,0,,0,33,507,15.4,5
Adrian Hardy,Louisiana Tech,CUSA,13,75,1145,15.3,6,0,0,,0,75,1145,15.3,6
A.J. Richardson,Boise State,MWC,13,54,825,15.3,8,0,0,,0,54,825,15.3,8
Jaylen Smith,Louisville,ACC,12,36,550,15.3,1,0,0,,0,36,550,15.3,1
Felton Davis III,Michigan State,Big Ten,6,31,474,15.3,4,2,50,25.0,1,33,524,15.9,5
