Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
Laviska Shenault Jr.,Colorado,Pac-12,9,86,1011,11.8,6,17,115,6.8,5,103,1126,10.9,11
Sean Riley,Syracuse,ACC,13,64,756,11.8,3,5,37,7.4,0,69,793,11.5,3
Johnathan Lloyd,Duke,ACC,13,51,604,11.8,5,2,4,2.0,0,53,608,11.5,5
Jamire Calvin,Washington State,Pac-12,12,42,497,11.8,1,0,0,,0,42,497,11.8,1
RB Marlow III,Bowling Green State,MAC,9,28,331,11.8,2,2,6,3.0,0,30,337,11.2,2
Stephan Robinson,Kansas,Big 12,10,28,330,11.8,1,0,0,,0,28,330,11.8,1
Chris Finke,Notre Dame,Ind,13,49,571,11.7,2,5,20,4.0,0,54,591,10.9,2
Tony Pollard,Memphis,American,14,39,458,11.7,3,78,552,7.1,6,117,1010,8.6,9
Samson Nacua,Utah,Pac-12,13,31,362,11.7,5,0,0,,0,31,362,11.7,5
CJ Verdell,Oregon,Pac-12,13,27,315,11.7,2,202,1018,5.0,10,229,1333,5.8,12
Tyler Vaughns,USC,Pac-12,12,58,674,11.6,6,0,0,,0,58,674,11.6,6
Trevon Bradford,Oregon State,Pac-12,11,56,649,11.6,6,12,136,11.3,0,68,785,11.5,6
Emeka Emezie,North Carolina State,ACC,12,53,616,11.6,5,0,0,,0,53,616,11.6,5
Gatlin Casey,Middle Tennessee State,CUSA,12,40,463,11.6,3,0,0,,0,40,463,11.6,3
Juwann Winfree,Colorado,Pac-12,8,28,324,11.6,2,0,0,,0,28,324,11.6,2
Flynn Nagel,Northwestern,Big Ten,13,68,780,11.5,2,2,2,1.0,0,70,782,11.2,2
Jauan Wesley,Northern Illinois,MAC,14,54,619,11.5,2,1,2,2.0,0,55,621,11.3,2
Marcus Armstrong-Brown,Hawaii,MWC,13,50,573,11.5,2,0,0,,0,50,573,11.5,2
Dazz Newsome,North Carolina,ACC,11,44,506,11.5,2,7,96,13.7,1,51,602,11.8,3
Olamide Zaccheaus,Virginia,ACC,13,93,1058,11.4,9,16,83,5.2,0,109,1141,10.5,9
Jakobi Meyers,North Carolina State,ACC,12,92,1047,11.4,4,3,-9,-3.0,0,95,1038,10.9,4
Trenton Irwin,Stanford,Pac-12,12,60,685,11.4,2,0,0,,0,60,685,11.4,2
Timmy Hernandez,Oregon State,Pac-12,12,58,661,11.4,3,1,3,3.0,0,59,664,11.3,3
Jaylon Redd,Oregon,Pac-12,12,38,433,11.4,5,3,22,7.3,1,41,455,11.1,6
Sam Mays,Illinois,Big Ten,11,29,331,11.4,0,0,0,,0,29,331,11.4,0
Travell Harris,Washington State,Pac-12,13,27,309,11.4,1,1,3,3.0,0,28,312,11.1,1
Greg Campbell Jr.,UTSA,CUSA,11,58,658,11.3,2,6,23,3.8,0,64,681,10.6,2
Keenen Brown,Texas State,Sun Belt,12,51,577,11.3,5,8,75,9.4,2,59,652,11.1,7
Jason Huntley,New Mexico State,Ind,12,47,529,11.3,3,109,505,4.6,7,156,1034,6.6,10
Mathew Sexton,Eastern Michigan,MAC,12,37,419,11.3,3,0,0,,0,37,419,11.3,3
Maurice Ways,California,Pac-12,12,34,383,11.3,1,0,0,,0,34,383,11.3,1
Thayer Thomas,North Carolina State,ACC,13,34,383,11.3,3,1,8,8.0,0,35,391,11.2,3
Blake Proehl,East Carolina,American,8,29,329,11.3,1,1,16,16.0,0,30,345,11.5,1
Thomas Hennigan,Appalachian State,Sun Belt,13,29,327,11.3,1,0,0,,0,29,327,11.3,1
C.J. Riley,North Carolina State,ACC,11,28,315,11.3,2,3,-11,-3.7,0,31,304,9.8,2
Markis McCray,Louisiana-Monroe,Sun Belt,12,27,304,11.3,0,13,50,3.8,0,40,354,8.9,0
Matt Eaton,Iowa State,Big 12,11,27,304,11.3,2,0,0,,0,27,304,11.3,2
Giovanni Ricci,Western Michigan,MAC,11,35,392,11.2,3,0,0,,0,35,392,11.2,3
Isaiah Wright,Temple,American,13,33,368,11.2,3,19,84,4.4,1,52,452,8.7,4
Julian Hicks,Central Michigan,MAC,9,28,313,11.2,4,1,12,12.0,0,29,325,11.2,4
Ryeshene Bronson,South Florida,American,8,25,281,11.2,1,1,3,3.0,0,26,284,10.9,1
Lynn Bowden Jr.,Kentucky,SEC,13,67,745,11.1,5,9,25,2.8,0,76,770,10.1,5
Hasise Dubois,Virginia,ACC,13,52,578,11.1,5,0,0,,0,52,578,11.1,5
Hunter Renfrow,Clemson,ACC,15,49,544,11.1,1,0,0,,0,49,544,11.1,1
Elijah Moore,Ole Miss,SEC,11,36,398,11.1,2,3,8,2.7,0,39,406,10.4,2
Jeremiah Booker,Kansas,Big 12,10,31,344,11.1,5,0,0,,0,31,344,11.1,5
Raghib Ismail Jr.,Wyoming,MWC,10,24,267,11.1,2,4,-2,-0.5,0,28,265,9.5,2
Velus Jones Jr.,USC,Pac-12,11,24,266,11.1,1,6,13,2.2,1,30,279,9.3,2
Rondale Moore,Purdue,Big Ten,13,114,1258,11.0,12,21,213,10.1,2,135,1471,10.9,14
Lucky Jackson,Western Kentucky,CUSA,12,50,552,11.0,4,3,30,10.0,1,53,582,11.0,5
Landon Wolf,Oklahoma State,Big 12,11,33,362,11.0,2,1,6,6.0,0,34,368,10.8,2
Calvin Jackson Jr.,Washington State,Pac-12,9,26,287,11.0,2,0,0,,0,26,287,11.0,2
Terrell Green,East Carolina,American,10,26,285,11.0,0,1,2,2.0,0,27,287,10.6,0
Tommy Sweeney,Boston College,ACC,11,32,348,10.9,3,0,0,,0,32,348,10.9,3
Alfred Smith,Louisiana Tech,CUSA,12,30,327,10.9,2,1,16,16.0,0,31,343,11.1,2
T.J. Rahming,Duke,ACC,13,75,811,10.8,8,9,82,9.1,0,84,893,10.6,8
Albert Okwuegbunam,Missouri,SEC,9,43,466,10.8,6,0,0,,0,43,466,10.8,6
Workpeh Kofa,Charlotte,CUSA,12,34,368,10.8,0,1,0,0.0,0,35,368,10.5,0
Cameron Butler,Colorado State,MWC,11,29,312,10.8,0,0,0,,0,29,312,10.8,0
Ron'Quavion Tarver,Utah State,MWC,13,66,709,10.7,8,1,4,4.0,0,67,713,10.6,8
Corey Lacanaria,Ball State,MAC,12,49,524,10.7,3,0,0,,0,49,524,10.7,3
Quin Jernighan,Western Kentucky,CUSA,10,41,437,10.7,1,0,0,,0,41,437,10.7,1
Sterling Palmer,Florida International,CUSA,11,26,279,10.7,2,0,0,,0,26,279,10.7,2
Britain Covey,Utah,Pac-12,13,60,637,10.6,1,21,172,8.2,0,81,809,10.0,1
Andre Baccellia,Washington,Pac-12,14,55,584,10.6,0,2,50,25.0,0,57,634,11.1,0
Spencer Tears,Northern Illinois,MAC,11,40,422,10.6,4,4,6,1.5,1,44,428,9.7,5
C.J. Conrad,Kentucky,SEC,12,30,318,10.6,3,0,0,,0,30,318,10.6,3
Jordan Nathan,Utah State,MWC,11,28,297,10.6,3,1,-2,-2.0,0,29,295,10.2,3
Kalija Lipscomb,Vanderbilt,SEC,13,87,916,10.5,9,14,75,5.4,1,101,991,9.8,10
Kaleb Fossum,Nevada,MWC,13,70,734,10.5,1,2,13,6.5,0,72,747,10.4,1
Tyree McCants,South Florida,American,13,59,617,10.5,3,8,52,6.5,0,67,669,10.0,3
Amari Rodgers,Clemson,ACC,15,55,575,10.5,4,1,5,5.0,0,56,580,10.4,4
Danny Davis,Wisconsin,Big Ten,10,40,418,10.5,5,4,56,14.0,0,44,474,10.8,5
Jaylond Adams,Southern Mississippi,CUSA,4,25,262,10.5,2,1,5,5.0,0,26,267,10.3,2
Kyle Sweet,Washington State,Pac-12,12,33,342,10.4,0,0,0,,0,33,342,10.4,0
Tony Brown,Colorado,Pac-12,11,32,333,10.4,1,0,0,,0,32,333,10.4,1
Royce Caldwell,New Mexico State,Ind,12,29,303,10.4,2,20,112,5.6,0,49,415,8.5,2
Daniel Helm,Duke,ACC,13,26,271,10.4,2,0,0,,0,26,271,10.4,2
Kadarius Toney,Florida,SEC,12,25,260,10.4,1,21,240,11.4,0,46,500,10.9,1
Willie Wright,Florida Atlantic,CUSA,12,46,474,10.3,2,15,71,4.7,0,61,545,8.9,2
Rafael Araujo-Lopes,Pitt,ACC,13,37,380,10.3,4,5,28,5.6,0,42,408,9.7,4
Kerr Johnson Jr.,Kansas,Big 12,9,30,309,10.3,2,1,1,1.0,0,31,310,10.0,2
Jarion Anderson,Tulsa,American,12,28,288,10.3,1,0,0,,0,28,288,10.3,1
Trayveon Williams,Texas A&M,SEC,13,27,278,10.3,1,271,1760,6.5,18,298,2038,6.8,19
Teddy Veal,Louisiana Tech,CUSA,12,70,716,10.2,1,0,0,,0,70,716,10.2,1
Shun Brown,Arizona,Pac-12,12,64,655,10.2,6,2,40,20.0,0,66,695,10.5,6
Austin Trammell,Rice,CUSA,13,62,632,10.2,3,1,3,3.0,0,63,635,10.1,3
Antwan Dixon,Kent State,MAC,11,52,532,10.2,2,5,8,1.6,0,57,540,9.5,2
Kyle Williams,Arizona State,Pac-12,13,44,449,10.2,2,1,8,8.0,0,45,457,10.2,2
Whop Philyor,Indiana,Big Ten,5,23,235,10.2,1,5,68,13.6,0,28,303,10.8,1
Steven Sims Jr.,Kansas,Big 12,12,53,535,10.1,4,2,29,14.5,0,55,564,10.3,4
Isaiah McKoy,Kent State,MAC,9,42,423,10.1,3,0,0,,0,42,423,10.1,3
Vic Wharton,California,Pac-12,12,50,502,10.0,1,2,15,7.5,0,52,517,9.9,1
Alize Mack,Notre Dame,Ind,12,36,360,10.0,3,0,0,,0,36,360,10.0,3
Andrew Beck,Texas,Big 12,14,28,281,10.0,2,0,0,,0,28,281,10.0,2
Davontavean Martin,Washington State,Pac-12,13,69,685,9.9,8,0,0,,0,69,685,9.9,8
Patrick Smith,Middle Tennessee State,CUSA,14,57,565,9.9,6,0,0,,0,57,565,9.9,6
Seth Collins,Texas Tech,Big 12,12,32,317,9.9,2,2,6,3.0,0,34,323,9.5,2
OJ Clark,New Mexico State,Ind,12,52,512,9.8,1,0,0,,0,52,512,9.8,1
Deondre Douglas,Troy,Sun Belt,11,48,472,9.8,7,4,81,20.3,0,52,553,10.6,7
Jared Sparks,Purdue,Big Ten,11,28,274,9.8,0,3,12,4.0,0,31,286,9.2,0
Tre' McKitty,Florida State,ACC,10,26,256,9.8,2,0,0,,0,26,256,9.8,2
Dylan Drummond,Eastern Michigan,MAC,9,25,245,9.8,1,0,0,,0,25,245,9.8,1
Deon Jackson,Duke,ACC,13,26,253,9.7,2,161,847,5.3,7,187,1100,5.9,9
Nick Easley,Iowa,Big Ten,12,52,494,9.5,5,2,7,3.5,0,54,501,9.3,5
Jordan Mitchell,Southern Mississippi,CUSA,10,37,351,9.5,3,0,0,,0,37,351,9.5,3
Taye Barber,Texas Christian,Big 12,13,32,303,9.5,2,4,-3,-0.8,0,36,300,8.3,2
Bryson Smith,Houston,American,12,30,285,9.5,4,19,74,3.9,0,49,359,7.3,4
Jordan McCray,South Alabama,Sun Belt,12,29,273,9.4,4,0,0,,0,29,273,9.4,4
Drake Harris,Western Michigan,MAC,8,27,255,9.4,1,0,0,,0,27,255,9.4,1
Trey Harrell,Kent State,MAC,8,23,217,9.4,0,4,24,6.0,0,27,241,8.9,0
Sidney Davis,Troy,Sun Belt,13,43,399,9.3,3,5,30,6.0,1,48,429,8.9,4
D'Andre Swift,Georgia,SEC,14,32,297,9.3,3,163,1049,6.4,10,195,1346,6.9,13
Trenard Davis,Illinois,Big Ten,11,30,278,9.3,0,2,-6,-3.0,0,32,272,8.5,0
Kelvin Smith,North Texas,CUSA,12,29,269,9.3,1,0,0,,0,29,269,9.3,1
Michael Warren II,Cincinnati,American,12,25,232,9.3,1,244,1329,5.4,19,269,1561,5.8,20
Luke Timian,Indiana,Big Ten,9,46,422,9.2,0,1,4,4.0,0,47,426,9.1,0
John Williams,Memphis,American,13,33,304,9.2,2,4,40,10.0,0,37,344,9.3,2
KeSean Carter,Texas Tech,Big 12,8,26,238,9.2,1,3,28,9.3,0,29,266,9.2,1
Maurice Washington,Nebraska,Big Ten,11,24,221,9.2,1,77,455,5.9,3,101,676,6.7,4
Thai Cottrell,San Jose State,MWC,11,24,220,9.2,1,14,10,0.7,0,38,230,6.1,1
Kenny Young,Miami (OH),MAC,10,42,384,9.1,4,59,367,6.2,4,101,751,7.4,8
D.J. Matthews,Florida State,ACC,11,42,382,9.1,1,2,0,0.0,0,44,382,8.7,1
Braeden West,SMU,American,12,39,356,9.1,1,138,589,4.3,6,177,945,5.3,7
Anthony Muse,New Mexico State,Ind,11,23,210,9.1,1,1,3,3.0,0,24,213,8.9,1
Justin Hall,Ball State,MAC,12,69,622,9.0,0,20,133,6.7,1,89,755,8.5,1
Hergy Mayala,Connecticut,American,10,40,361,9.0,5,0,0,,0,40,361,9.0,5
Brevin Jordan,Miami (FL),ACC,9,32,287,9.0,4,0,0,,0,32,287,9.0,4
De'Michael Harris,Southern Mississippi,CUSA,11,27,241,8.9,2,9,80,8.9,0,36,321,8.9,2
J-Shun Harris II,Indiana,Big Ten,11,37,325,8.8,2,2,1,0.5,0,39,326,8.4,2
Hutch White,Texas State,Sun Belt,12,34,298,8.8,2,1,4,4.0,0,35,302,8.6,2
Pooka Williams,Kansas,Big 12,11,33,289,8.8,2,161,1125,7.0,7,194,1414,7.3,9
Bo Melton,Rutgers,Big Ten,9,28,245,8.8,0,6,23,3.8,0,34,268,7.9,0
Devine Ozigbo,Nebraska,Big Ten,12,23,203,8.8,0,155,1082,7.0,12,178,1285,7.2,12
D.J. Brown,Northern Illinois,MAC,14,57,496,8.7,5,18,92,5.1,1,75,588,7.8,6
Isaiah Harper,Old Dominion,CUSA,12,55,479,8.7,1,4,22,5.5,0,59,501,8.5,1
Tra Minter,South Alabama,Sun Belt,12,23,201,8.7,0,183,801,4.4,6,206,1002,4.9,6
Darrell Stewart Jr.,Michigan State,Big Ten,11,48,413,8.6,1,4,22,5.5,0,52,435,8.4,1
Devon Spalding,Central Michigan,MAC,10,27,231,8.6,0,9,38,4.2,0,36,269,7.5,0
Cameron Green,Northwestern,Big Ten,13,57,483,8.5,4,1,-4,-4.0,0,58,479,8.3,4
Deshaunte Jones,Iowa State,Big 12,12,43,366,8.5,4,0,0,,0,43,366,8.5,4
Tyler Mabry,Buffalo,MAC,11,27,230,8.5,2,0,0,,0,27,230,8.5,2
Kyle Fourtenbary,Western Kentucky,CUSA,12,36,302,8.4,2,0,0,,0,36,302,8.4,2
Raheem Blackshear,Rutgers,Big Ten,12,44,367,8.3,2,143,586,4.1,3,187,953,5.1,5
Warren Wand,Arkansas State,Sun Belt,13,26,213,8.2,1,139,792,5.7,4,165,1005,6.1,5
Deandre Torrey,North Texas,CUSA,13,25,205,8.2,2,175,977,5.6,15,200,1182,5.9,17
Akilian Butler,Boise State,MWC,12,25,204,8.2,2,0,0,,0,25,204,8.2,2
Desmond Phillips,Toledo,MAC,12,27,220,8.1,0,0,0,,0,27,220,8.1,0
Ryan Davis,Auburn,SEC,13,69,546,7.9,1,3,12,4.0,0,72,558,7.8,1
Austin Conway,Wyoming,MWC,12,32,250,7.8,1,12,80,6.7,1,44,330,7.5,2
Connor Heyward,Michigan State,Big Ten,13,32,249,7.8,0,118,529,4.5,5,150,778,5.2,5
Eno Benjamin,Arizona State,Pac-12,13,35,263,7.5,2,300,1642,5.5,16,335,1905,5.7,18
Da'Leon Ward,Texas Tech,Big 12,10,26,196,7.5,1,79,341,4.3,3,105,537,5.1,4
James Williams,Washington State,Pac-12,13,83,613,7.4,4,122,560,4.6,12,205,1173,5.7,16
Tavares Thomas,Middle Tennessee State,CUSA,12,38,283,7.4,4,80,239,3.0,5,118,522,4.4,9
Eddie Lewis,Rutgers,Big Ten,9,23,167,7.3,0,0,0,,0,23,167,7.3,0
Rakeem Boyd,Arkansas,SEC,12,23,165,7.2,0,123,734,6.0,2,146,899,6.2,2
Max Borghi,Washington State,Pac-12,13,53,374,7.1,4,72,366,5.1,8,125,740,5.9,12
Joshua Kelley,UCLA,Pac-12,11,27,193,7.1,0,225,1243,5.5,12,252,1436,5.7,12
Zavier Scott,Connecticut,American,10,33,228,6.9,1,34,210,6.2,0,67,438,6.5,1
D.J. Knox,Purdue,Big Ten,13,27,180,6.7,1,157,883,5.6,8,184,1063,5.8,9
JaMycal Hasty,Baylor,Big 12,11,26,170,6.5,1,82,434,5.3,4,108,604,5.6,5
Alexander Mattison,Boise State,MWC,13,27,173,6.4,0,302,1415,4.7,17,329,1588,4.8,17
Keaontay Ingram,Texas,Big 12,13,27,170,6.3,2,142,708,5.0,3,169,878,5.2,5
Izzy Matthews,Colorado State,MWC,12,27,169,6.3,1,166,717,4.3,4,193,886,4.6,5
Cam Akers,Florida State,ACC,12,23,145,6.3,2,161,706,4.4,6,184,851,4.6,8
LeVante Bellamy,Western Michigan,MAC,13,30,185,6.2,1,205,1228,6.0,6,235,1413,6.0,7
Reese Taylor,Indiana,Big Ten,12,28,174,6.2,0,15,83,5.5,0,43,257,6.0,0
Jermar Jefferson,Oregon State,Pac-12,12,25,147,5.9,0,239,1380,5.8,12,264,1527,5.8,12
Jeremy Cox,Old Dominion,CUSA,9,24,139,5.8,0,103,453,4.4,5,127,592,4.7,5
Patrick Laird,California,Pac-12,13,51,288,5.6,4,223,961,4.3,5,274,1249,4.6,9
Michael Carter,North Carolina,ACC,9,25,135,5.4,1,84,597,7.1,2,109,732,6.7,3
Trivenskey Mosley,Southern Mississippi,CUSA,10,24,87,3.6,0,99,494,5.0,1,123,581,4.7,1
