Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD
Anthony Taylor,Texas State,Sun Belt,19,108,436,4.0,2,15,159,10.6,3,123,595,4.8,5
Malik Roberson,San Jose State,MWC,12,87,347,4.0,1,7,60,8.6,0,94,407,4.3,1
Robert Brown,Texas State,Sun Belt,12,77,305,4.0,0,8,27,3.4,0,85,332,3.9,0
Jordan Ellis,Virginia,ACC,13,215,836,3.9,6,22,137,6.2,1,237,973,4.1,7
Ryquell Armstead,Temple,American,13,156,604,3.9,5,14,75,5.4,0,170,679,4.0,5
Keith Ford,Texas A&M,SEC,13,139,548,3.9,12,14,84,6.0,0,153,632,4.1,12
Hasaan Klugh,Charlotte,CUSA,11,137,532,3.9,9,0,0,,0,137,532,3.9,9
Demry Croft,Minnesota,Big Ten,9,79,311,3.9,4,0,0,,0,79,311,3.9,4
Arion Worthman,Air Force,MWC,10,217,821,3.8,13,1,24,24.0,0,218,845,3.9,13
Jon Hilliman,Boston College,ACC,13,167,638,3.8,5,24,155,6.5,2,191,793,4.2,7
Devine Ozigbo,Nebraska,Big Ten,10,129,493,3.8,3,16,123,7.7,0,145,616,4.2,3
Dontae Strickland,Syracuse,ACC,10,128,482,3.8,4,18,142,7.9,2,146,624,4.3,6
Bradrick Shaw,Wisconsin,Big Ten,11,96,365,3.8,4,3,21,7.0,0,99,386,3.9,4
Kellen Mond,Texas A&M,SEC,10,89,340,3.8,3,0,0,,0,89,340,3.8,3
Ryan Wolpin,Boise State,MWC,14,122,448,3.7,6,12,107,8.9,0,134,555,4.1,6
Manny Morgan,Akron,MAC,13,116,434,3.7,4,12,58,4.8,0,128,492,3.8,4
Vic Enwere,California,Pac-12,11,101,377,3.7,5,5,37,7.4,0,106,414,3.9,5
Van Edwards Jr.,Akron,MAC,13,94,348,3.7,2,8,33,4.1,0,102,381,3.7,2
Nate Hopkins,Connecticut,American,11,92,343,3.7,7,2,11,5.5,0,94,354,3.8,7
Madre London,Michigan State,Big Ten,12,83,304,3.7,3,9,62,6.9,1,92,366,4.0,4
Derrick Gore,Louisiana-Monroe,Sun Belt,12,164,585,3.6,6,13,174,13.4,1,177,759,4.3,7
Malik Rosier,Miami (FL),ACC,13,131,468,3.6,5,1,17,17.0,0,132,485,3.7,5
Stephen Johnson,Kentucky,SEC,13,103,375,3.6,5,1,32,32.0,0,104,407,3.9,5
Dustin Crum,Kent State,MAC,10,85,310,3.6,1,0,0,,0,85,310,3.6,1
Shai Werts,Georgia Southern,Sun Belt,11,207,722,3.5,3,1,30,30.0,0,208,752,3.6,3
Kelly Bryant,Clemson,ACC,14,192,665,3.5,11,0,0,,0,192,665,3.5,11
Glenn Smith,Georgia State,Sun Belt,12,170,594,3.5,3,47,377,8.0,1,217,971,4.5,4
Trey Woods,Wyoming,MWC,12,142,493,3.5,2,4,74,18.5,0,146,567,3.9,2
Trace McSorley,Penn State,Big Ten,13,144,491,3.4,11,0,0,,0,144,491,3.4,11
Hayden Moore,Cincinnati,American,12,92,312,3.4,4,1,4,4.0,0,93,316,3.4,4
Marcus Childers,Northern Illinois,MAC,12,143,473,3.3,5,1,10,10.0,0,144,483,3.4,5
Sam Ehlinger,Texas,Big 12,9,114,381,3.3,2,2,50,25.0,0,116,431,3.7,2
Kenny Hill,Texas Christian,Big 12,13,100,325,3.3,5,3,76,25.3,2,103,401,3.9,7
