Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Rush Att,Rush Yds,Rush Avg,Rush TD
Kyler Murray,Oklahoma,Big 12,14,260,377,69.0,4361,11.6,13.0,42,7,199.2,140,1001,7.2,12
Tua Tagovailoa,Alabama,SEC,15,245,355,69.0,3966,11.2,12.8,43,6,199.4,57,190,3.3,5
Brock Purdy,Iowa State,Big 12,10,146,220,66.4,2250,10.2,10.3,16,7,169.9,100,308,3.1,5
Will Grier,West Virginia,Big 12,11,266,397,67.0,3864,9.7,10.7,37,8,175.5,48,-90,-1.9,3
Jordan Ta'amu,Ole Miss,SEC,12,266,418,63.6,3918,9.4,9.4,19,8,153.5,116,342,2.9,6
Ross Comis,Massachusetts,Ind,11,122,194,62.9,1799,9.3,10.0,14,3,161.5,86,255,3.0,6
McKenzie Milton,UCF,American,10,171,289,59.2,2663,9.2,10.0,25,6,161.0,79,307,3.9,9
Dwayne Haskins,Ohio State,Big Ten,14,373,533,70.0,4831,9.1,10.3,50,8,174.1,79,108,1.4,4
Jake Fromm,Georgia,SEC,14,207,307,67.4,2761,9.0,10.1,30,6,171.3,41,-27,-0.7,0
Nathan Rourke,Ohio,MAC,13,164,274,59.9,2434,8.9,9.2,23,8,156.3,134,860,6.4,15
Jordan Love,Utah State,MWC,13,267,417,64.0,3567,8.6,9.4,32,6,158.3,43,63,1.5,7
K.J. Costello,Stanford,Pac-12,13,269,413,65.1,3540,8.6,8.8,29,11,155.0,42,-20,-0.5,0
D'Eriq King,Houston,American,11,219,345,63.5,2982,8.6,9.9,36,6,167.0,111,674,6.1,14
Marcus McMaryion,Fresno State,MWC,14,293,427,68.6,3629,8.5,9.1,25,5,157.0,71,294,4.1,8
Brady White,Memphis,American,14,246,392,62.8,3296,8.4,8.7,26,9,150.7,53,-43,-0.8,1
James Morgan,Florida International,CUSA,12,213,326,65.3,2727,8.4,9.0,26,7,157.6,27,-19,-0.7,1
Ian Book,Notre Dame,Ind,10,214,314,68.2,2628,8.4,8.6,19,7,154.0,95,280,2.9,4
Chris Robison,Florida Atlantic,CUSA,12,192,304,63.2,2540,8.4,7.4,12,12,138.5,73,211,2.9,3
Khalil Tate,Arizona,Pac-12,11,170,302,56.3,2530,8.4,8.9,26,8,149.8,74,224,3.0,2
Brett Rypien,Boise State,MWC,13,301,447,67.3,3705,8.3,8.9,30,7,156.0,85,12,0.1,0
Trevor Lawrence,Clemson,ACC,15,259,397,65.2,3280,8.3,9.3,30,4,157.6,60,177,3.0,1
Taylor Cornelius,Oklahoma State,Big 12,13,288,485,59.4,3978,8.2,8.3,32,13,144.7,122,406,3.3,10
Jake Browning,Washington,Pac-12,14,252,388,64.9,3192,8.2,7.9,16,10,142.5,85,139,1.6,4
