Player,School,Conf,G,Rush Att,Rush Yds,Rush Avg,Rush TD,Pass Rec,Pass Yds,Pass Avg,Pass TD,Plays,Yds,Avg,TD
Ty Johnson,Maryland,Big Ten,13,110,1004,9.1,6,16,206,12.9,1,126,1210,9.6,7
Teriyon Gipson,New Mexico,MWC,11,145,1269,8.8,13,9,80,8.9,1,154,1349,8.8,14
Timothy McVey,Air Force,MWC,13,83,708,8.5,10,8,193,24.1,2,91,901,9.9,12
Tyrone Owens,New Mexico,MWC,12,137,1097,8.0,7,7,54,7.7,0,144,1151,8.0,7
Curtis Samuel,Ohio State,Big Ten,13,97,771,7.9,8,74,865,11.7,7,171,1636,9.6,15
Aaron Jones,UTEP,CUSA,12,229,1773,7.7,17,28,233,8.3,3,257,2006,7.8,20
Quinton Flowers,South Florida,American,13,198,1530,7.7,18,1,-3,-3.0,0,199,1527,7.7,18
Derrius Guice,LSU,SEC,12,183,1387,7.6,15,9,106,11.8,1,192,1493,7.8,16
Tony Brooks-James,Oregon,Pac-12,12,101,771,7.6,9,17,155,9.1,1,118,926,7.8,10
Rashaad Penny,San Diego State,MWC,14,136,1018,7.5,11,15,224,14.9,3,151,1242,8.2,14
Lavon Coleman,Washington,Pac-12,14,114,852,7.5,7,5,31,6.2,0,119,883,7.4,7
Justin Crawford,West Virginia,Big 12,13,163,1184,7.3,4,14,68,4.9,1,177,1252,7.1,5
Brandon Dawkins,Arizona,Pac-12,10,131,944,7.2,10,0,0,,0,131,944,7.2,10
Lorenzo Harrison,Maryland,Big Ten,9,88,633,7.2,5,9,72,8.0,0,97,705,7.3,5
Nick Fitzgerald,Mississippi State,SEC,13,195,1375,7.1,16,1,9,9.0,0,196,1384,7.1,16
Damien Harris,Alabama,SEC,15,146,1037,7.1,2,14,99,7.1,2,160,1136,7.1,4
Bryce Love,Stanford,Pac-12,12,111,783,7.1,3,8,83,10.4,1,119,866,7.3,4
Chris Evans,Michigan,Big Ten,13,88,614,7.0,4,6,87,14.5,0,94,701,7.5,4
Damarea Crockett,Missouri,SEC,11,153,1062,6.9,10,5,14,2.8,0,158,1076,6.8,10
Anthony Wales,Western Kentucky,CUSA,13,237,1621,6.8,27,30,323,10.8,2,267,1944,7.3,29
Joe Mixon,Oklahoma,Big 12,12,187,1274,6.8,10,37,538,14.5,5,224,1812,8.1,15
Marlon Mack,South Florida,American,12,174,1187,6.8,15,28,227,8.1,0,202,1414,7.0,15
Boom Williams,Kentucky,SEC,13,171,1170,6.8,7,8,56,7.0,1,179,1226,6.8,8
Trayveon Williams,Texas A&M,SEC,13,156,1057,6.8,8,19,91,4.8,0,175,1148,6.6,8
Chris Carson,Oklahoma State,Big 12,9,82,559,6.8,9,13,128,9.8,1,95,687,7.2,10
Anthony Maddie,Northern Illinois,MAC,7,82,558,6.8,7,1,9,9.0,0,83,567,6.8,7
I'Tavius Mathers,Middle Tennessee State,CUSA,13,232,1561,6.7,17,66,633,9.6,3,298,2194,7.4,20
Joe Williams,Utah,Pac-12,9,210,1407,6.7,10,9,107,11.9,0,219,1514,6.9,10
Devin Singletary,Florida Atlantic,CUSA,12,152,1021,6.7,12,26,163,6.3,0,178,1184,6.7,12
Ryan Nall,Oregon State,Pac-12,10,147,951,6.5,13,22,214,9.7,2,169,1165,6.9,15
Brandon Radcliff,Louisville,ACC,13,138,903,6.5,6,9,86,9.6,1,147,989,6.7,7
Leonard Fournette,LSU,SEC,7,129,843,6.5,8,15,146,9.7,0,144,989,6.9,8
Bo Scarbrough,Alabama,SEC,13,125,812,6.5,11,4,22,5.5,0,129,834,6.5,11
Lamar Jordan,New Mexico,MWC,12,114,739,6.5,3,0,0,,0,114,739,6.5,3
Marcus Marshall,Georgia Tech,ACC,11,96,624,6.5,4,3,92,30.7,1,99,716,7.2,5
Akrum Wadley,Iowa,Big Ten,13,168,1081,6.4,10,36,315,8.8,3,204,1396,6.8,13
Marcus Cox,Appalachian State,Sun Belt,9,158,1015,6.4,9,14,112,8.0,1,172,1127,6.6,10
Josh Cleveland,Bowling Green State,MAC,11,101,649,6.4,2,9,41,4.6,0,110,690,6.3,2
John Kelly,Tennessee,SEC,11,98,630,6.4,5,6,51,8.5,0,104,681,6.5,5
Jamal Morrow,Washington State,Pac-12,13,90,575,6.4,5,48,488,10.2,5,138,1063,7.7,10
D'Onta Foreman,Texas,Big 12,11,323,2028,6.3,15,7,75,10.7,0,330,2103,6.4,15
James Flanders,Tulsa,American,13,258,1629,6.3,18,3,17,5.7,0,261,1646,6.3,18
Christian McCaffrey,Stanford,Pac-12,11,253,1603,6.3,13,37,310,8.4,3,290,1913,6.6,16
Ray Lawry,Old Dominion,CUSA,12,200,1255,6.3,11,11,134,12.2,1,211,1389,6.6,12
Jordan Huff,Northern Illinois,MAC,11,111,703,6.3,5,10,70,7.0,0,121,773,6.4,5
Kenny Young,Miami (OH),MAC,13,88,557,6.3,2,17,201,11.8,2,105,758,7.2,4
Samuel Stewart,Rice,CUSA,7,76,479,6.3,3,15,107,7.1,3,91,586,6.4,6
Donnel Pumphrey,San Diego State,MWC,14,349,2133,6.1,17,27,231,8.6,0,376,2364,6.3,17
Dalvin Cook,Florida State,ACC,13,288,1765,6.1,19,33,488,14.8,1,321,2253,7.0,20
Ronald Jones,USC,Pac-12,13,177,1082,6.1,12,11,76,6.9,1,188,1158,6.2,13
Diocemy Saint Juste,Hawaii,MWC,12,165,1006,6.1,3,8,56,7.0,1,173,1062,6.1,4
Doroland Dorceus,Memphis,American,13,132,810,6.1,9,10,77,7.7,1,142,887,6.2,10
Josh Rounds,Tulane,American,12,125,758,6.1,7,6,84,14.0,0,131,842,6.4,7
