Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Austin Seibert,Oklahoma,Big 12,13,72,74,97.3,11,16,68.8,105
Andrew Endicott,Wisconsin,Big Ten,11,35,37,94.6,13,19,68.4,74
Brandon Hatfield,Texas Christian,Big 12,11,27,29,93.1,13,19,68.4,66
Jameson Vest,Toledo,MAC,13,61,62,98.4,13,19,68.4,100
Matthew Wyman,Kansas,Big 12,12,26,26,100.0,13,19,68.4,65
Mike Molina,West Virginia,Big 12,13,51,51,100.0,15,22,68.2,96
Shane Hynes,Kent State,MAC,12,28,28,100.0,15,22,68.2,73
Trent Domingue,Texas,Big 12,12,40,44,90.9,15,22,68.2,85
JD Houston,Arkansas State,Sun Belt,12,36,41,87.8,12,18,66.7,72
Chris Callahan,Baylor,Big 12,12,53,54,98.1,10,15,66.7,83
Chris Graham,Colorado,Pac-12,10,8,10,80.0,10,15,66.7,38
Cooper Rothe,Wyoming,MWC,14,64,64,100.0,13,20,65.0,103
Josh Pasley,Cincinnati,American,10,17,20,85.0,11,17,64.7,50
Adam Greene,Maryland,Big Ten,13,37,38,97.4,9,14,64.3,64
Josh Pollack,Arizona,Pac-12,12,36,36,100.0,9,14,64.3,63
Andrew Dirocco,Tulane,American,11,32,33,97.0,10,16,62.5,62
Gavin Patterson,South Alabama,Sun Belt,13,42,42,100.0,10,16,62.5,72
Griffin Oakes,Indiana,Big Ten,13,33,35,94.3,16,26,61.5,81
Adam Mitcheson,Buffalo,MAC,11,21,23,91.3,11,18,61.1,54
Christian Hagan,Northern Illinois,MAC,12,45,46,97.8,11,18,61.1,78
JJ Molson,UCLA,Pac-12,11,27,27,100.0,12,20,60.0,63
Erik Powell,Washington State,Pac-12,13,63,65,96.9,9,15,60.0,90
Chris Blewitt,Pitt,ACC,13,66,69,95.7,10,17,58.8,96
Garrett Owens,Oregon State,Pac-12,12,37,38,97.4,10,17,58.8,67
Westin Graves,Mississippi State,SEC,13,48,49,98.0,11,19,57.9,81
Cole Murphy,Syracuse,ACC,12,36,39,92.3,10,18,55.6,66
Rogier Ten Lohuis,Georgia State,Sun Belt,12,25,28,89.3,8,15,53.3,49
Tucker McCann,Missouri,SEC,12,39,43,90.7,6,12,50.0,57
Brian Eavey,Central Michigan,MAC,13,42,43,97.7,8,17,47.1,66
