Player,School,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts
Cooper Rothe,Wyoming,MWC,12,28,28,100.0,16,17,94.1,76
Jet Toner,Stanford,Pac-12,11,34,34,100.0,14,15,93.3,76
Jake Verity,East Carolina,American,11,27,28,96.4,19,21,90.5,84
Tyler Bass,Georgia Southern,Sun Belt,13,45,45,100.0,19,21,90.5,102
Austin Seibert,Oklahoma,Big 12,14,87,88,98.9,17,19,89.5,138
Clayton Hatfield,Texas Tech,Big 12,12,55,55,100.0,17,19,89.5,106
Evan McPherson,Florida,SEC,13,50,50,100.0,17,19,89.5,101
Christopher Dunn,North Carolina State,ACC,13,51,51,100.0,23,26,88.5,120
Andre Szmyt,Syracuse,ACC,13,61,61,100.0,30,34,88.2,151
Cole Tracy,LSU,SEC,13,42,42,100.0,29,33,87.9,129
Blake Lynch,Baylor,Big 12,21,19,20,95.0,14,16,87.5,61
Blake Lynch,Kansas State,Big 12,,19,20,95.0,14,16,87.5,61
Cole Hedlund,North Texas,CUSA,13,51,54,94.4,19,22,86.4,108
Nick Sciba,Wake Forest,ACC,13,50,50,100.0,19,22,86.4,107
Joseph Petrino,Maryland,Big Ten,11,40,41,97.6,12,14,85.7,76
Matthew Wright,UCF,American,13,74,74,100.0,12,14,85.7,110
Bennett Moehring,Navy,American,12,34,35,97.1,11,13,84.6,67
Matt Gay,Utah,Pac-12,14,45,45,100.0,26,31,83.9,123
Coby Weiss,South Florida,American,12,35,39,89.7,15,18,83.3,80
Kyle Pfau,Louisiana,Sun Belt,14,54,55,98.2,15,18,83.3,99
Logan Justus,Indiana,Big Ten,12,32,33,97.0,15,18,83.3,77
Ryan Meskell,Hawaii,MWC,14,46,47,97.9,15,18,83.3,91
Blaton Creque,Louisville,ACC,12,27,30,90.0,10,12,83.3,57
Ryan Tice,Central Michigan,MAC,9,14,15,93.3,10,12,83.3,44
Rodrigo Blankenship,Georgia,SEC,14,65,65,100.0,19,23,82.6,122
Matthew Trickett,Kent State,MAC,12,33,34,97.1,14,17,82.4,75
Brandon Ruiz,Arizona State,Pac-12,13,45,45,100.0,18,22,81.8,99
Matt Coghlin,Michigan State,Big Ten,13,25,25,100.0,18,22,81.8,79
Luke Logan,Ole Miss,SEC,12,45,46,97.8,22,27,81.5,111
Josh Pollack,Arizona,Pac-12,6,17,18,94.4,13,16,81.3,56
Massimo Biscardi,Coastal Carolina,Sun Belt,12,33,36,91.7,13,16,81.3,72
Parker White,South Carolina,SEC,13,45,46,97.8,13,16,81.3,84
Justin Yoon,Notre Dame,Ind,12,41,43,95.3,17,21,81.0,92
Chase McLaughlin,Illinois,Big Ten,11,36,36,100.0,20,25,80.0,96
Evan Staley,West Virginia,Big 12,12,59,60,98.3,16,20,80.0,107
Parker Shaunfield,Southern Mississippi,CUSA,9,24,25,96.0,16,20,80.0,72
Connor Limpert,Arkansas,SEC,11,29,29,100.0,19,24,79.2,86
Dominik Eberle,Utah State,MWC,13,75,75,100.0,22,28,78.6,141
Kevin Robledo,SMU,American,11,37,38,97.4,11,14,78.6,70
Spencer Evans,Purdue,Big Ten,13,42,45,93.3,18,23,78.3,96
Barret Pickering,Nebraska,Big Ten,12,40,41,97.6,14,18,77.8,82
Joseph Bulovas,Alabama,SEC,14,75,81,92.6,14,18,77.8,117
Nick Rice,Old Dominion,CUSA,12,40,41,97.6,14,18,77.8,82
John Baron,San Diego State,MWC,12,27,27,100.0,17,22,77.3,78
Jonathan Cruz,Charlotte,CUSA,12,27,27,100.0,17,22,77.3,78
Miguel Recinos,Iowa,Big Ten,13,47,47,100.0,17,22,77.3,98
Brent Cimaglia,Tennessee,SEC,11,31,31,100.0,10,13,76.9,61
Gavin Peddie,Western Michigan,MAC,11,39,42,92.9,10,13,76.9,69
Merek Glover,Tulane,American,13,41,43,95.3,10,13,76.9,71
Samuel Sloman,Miami (OH),MAC,12,41,42,97.6,10,13,76.9,71
Alex Kessman,Pitt,ACC,14,40,43,93.0,13,17,76.5,79
Louie Zervos,Ohio,MAC,13,68,68,100.0,13,17,76.5,107
Crews Holt,Middle Tennessee State,CUSA,14,40,45,88.9,18,24,75.0,94
Tyler Sumpter,Troy,Sun Belt,13,45,45,100.0,18,24,75.0,99
Jameson Vest,Toledo,MAC,13,64,66,97.0,15,20,75.0,109
Ramiz Ahmed,Nevada,MWC,13,40,44,90.9,15,20,75.0,85
Riley Patterson,Memphis,American,14,76,79,96.2,15,20,75.0,121
Brian Delaney,Virginia,ACC,8,25,25,100.0,12,16,75.0,61
Chandler Staton,Appalachian State,Sun Belt,13,61,61,100.0,12,16,75.0,97
Jace Christman,Mississippi State,SEC,13,41,41,100.0,12,16,75.0,77
Jake Koehnke,Air Force,MWC,11,32,33,97.0,9,12,75.0,59
Emmit Carpenter,Minnesota,Big Ten,13,43,43,100.0,17,23,73.9,94
Bryce Crawford,San Jose State,MWC,12,25,27,92.6,14,19,73.7,67
Jared Sackett,UTSA,CUSA,11,18,18,100.0,14,19,73.7,60
JJ Molson,UCLA,Pac-12,12,35,35,100.0,14,19,73.7,77
Jose Borregales,Florida International,CUSA,13,54,55,98.2,14,19,73.7,96
Will Mobley,Temple,American,12,54,55,98.2,11,15,73.3,87
Tucker McCann,Missouri,SEC,13,51,54,94.4,24,33,72.7,123
Matt Ammendola,Oklahoma State,Big 12,13,61,63,96.8,16,22,72.7,109
Nick Gasser,Akron,MAC,12,22,23,95.7,16,22,72.7,70
Peyton Henry,Washington,Pac-12,14,43,44,97.7,16,22,72.7,91
Andrew Gantz,Northern Illinois,MAC,14,29,29,100.0,13,18,72.2,68
Cameron Dicker,Texas,Big 12,14,51,52,98.1,18,25,72.0,105
Seth Small,Texas A&M,SEC,11,40,40,100.0,20,28,71.4,100
Justin Rohrwasser,Marshall,CUSA,13,44,46,95.7,15,21,71.4,89
Gabriel Rui,Kansas,Big 12,12,28,28,100.0,12,17,70.6,64
Greg Thomas,California,Pac-12,13,32,32,100.0,12,17,70.6,68
Connor Assalley,Iowa State,Big 12,13,36,38,94.7,16,23,69.6,84
Collin Wareham,Duke,ACC,13,49,51,96.1,9,13,69.2,76
Gavin Patterson,South Alabama,Sun Belt,12,31,35,88.6,9,13,69.2,58
Greg Huegel,Clemson,ACC,15,76,78,97.4,11,16,68.8,109
Morgan Hagee,Ball State,MAC,12,35,35,100.0,11,16,68.8,68
Quinn Nordin,Michigan,Big Ten,10,45,46,97.8,11,16,68.8,78
Skyler Southam,Brigham Young,Ind,13,42,44,95.5,11,16,68.8,75
Bailey Hale,Louisiana Tech,CUSA,13,38,39,97.4,15,22,68.2,83
Jake Pinegar,Penn State,Big Ten,13,53,55,96.4,16,24,66.7,101
Blake Grupe,Arkansas State,Sun Belt,11,35,38,92.1,14,21,66.7,77
