Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Anthony Ratliff-Williams,North Carolina,ACC,12,35,630,18.0,6,1,1,1.0,0,36,631,17.5,6
Devonte Boyd,UNLV,MWC,11,34,612,18.0,3,0,0,,0,34,612,18.0,3
Anthony Johnson,Buffalo,MAC,12,76,1356,17.8,14,4,-5,-1.3,0,80,1351,16.9,14
Denzel Mims,Baylor,Big 12,12,61,1087,17.8,8,1,-6,-6.0,0,62,1081,17.4,8
Trevon Brown,East Carolina,American,12,60,1069,17.8,7,2,16,8.0,0,62,1085,17.5,7
Turner Smiley,North Texas,CUSA,11,35,623,17.8,5,0,0,,0,35,623,17.8,5
Adonis Jennings,Temple,American,13,42,742,17.7,7,2,22,11.0,0,44,764,17.4,7
Johnathon Johnson,Missouri,SEC,13,41,724,17.7,6,1,0,0.0,0,42,724,17.2,6
C.J. Johnson,Wyoming,MWC,12,30,531,17.7,7,2,15,7.5,0,32,546,17.1,7
Darnell Mooney,Tulane,American,11,34,599,17.6,4,0,0,,0,34,599,17.6,4
Rhashid Bonnette,Louisiana Tech,CUSA,10,33,582,17.6,2,1,3,3.0,0,34,585,17.2,2
CeeDee Lamb,Oklahoma,Big 12,13,46,807,17.5,7,0,0,,0,46,807,17.5,7
Papi White,Ohio,MAC,9,36,631,17.5,3,4,46,11.5,0,40,677,16.9,3
Jalen Reagor,Texas Christian,Big 12,14,33,576,17.5,8,8,65,8.1,0,41,641,15.6,8
Diontae Johnson,Toledo,MAC,14,74,1278,17.3,13,2,9,4.5,0,76,1287,16.9,13
Anthony Mahoungou,Purdue,Big Ten,12,40,688,17.2,8,0,0,,0,40,688,17.2,8
Kamathi Holsey,Buffalo,MAC,8,32,548,17.1,1,0,0,,0,32,548,17.1,1
DaMarkus Lodge,Ole Miss,SEC,12,41,698,17.0,7,0,0,,0,41,698,17.0,7
Jester Weah,Pitt,ACC,11,41,698,17.0,4,0,2,,0,41,700,17.1,4
Hakeem Butler,Iowa State,Big 12,13,41,697,17.0,7,0,0,,0,41,697,17.0,7
Jalen Harvey,Arizona State,Pac-12,11,33,558,16.9,1,1,2,2.0,0,34,560,16.5,1
D'Wayne Eskridge,Western Michigan,MAC,12,30,506,16.9,3,4,13,3.3,0,34,519,15.3,3
Marquez Callaway,Tennessee,SEC,10,24,406,16.9,5,1,4,4.0,0,25,410,16.4,5
Terry Godwin,Georgia,SEC,13,38,639,16.8,6,0,0,,0,38,639,16.8,6
A.J. Brown,Ole Miss,SEC,11,75,1252,16.7,11,0,0,,0,75,1252,16.7,11
Quintez Cephus,Wisconsin,Big Ten,10,30,501,16.7,6,4,5,1.3,0,34,506,14.9,6
J'Mon Moore,Missouri,SEC,13,65,1082,16.6,10,0,0,,0,65,1082,16.6,10
Marquez Valdes-Scantling,South Florida,American,12,53,879,16.6,6,8,108,13.5,1,61,987,16.2,7
D.K. Metcalf,Ole Miss,SEC,12,39,646,16.6,7,0,0,,0,39,646,16.6,7
Ka'Raun White,West Virginia,Big 12,13,61,1004,16.5,12,0,0,,0,61,1004,16.5,12
Kalija Lipscomb,Vanderbilt,SEC,12,37,610,16.5,8,3,17,5.7,0,40,627,15.7,8
Ricky Smalling,Illinois,Big Ten,11,31,510,16.5,2,0,0,,0,31,510,16.5,2
Noah Fant,Iowa,Big Ten,12,30,494,16.5,11,2,-1,-0.5,0,32,493,15.4,11
Jon'Vea Johnson,Toledo,MAC,13,42,689,16.4,5,0,0,,0,42,689,16.4,5
John Diarse,Texas Christian,Big 12,13,35,575,16.4,3,0,0,,0,35,575,16.4,3
David Sills,West Virginia,Big 12,12,60,980,16.3,18,0,0,,0,60,980,16.3,18
Jaylen Smith,Louisville,ACC,10,60,980,16.3,7,0,0,,0,60,980,16.3,7
Sergio Bailey,Eastern Michigan,MAC,12,54,878,16.3,9,2,25,12.5,0,56,903,16.1,9
Justin McInnis,Arkansas State,Sun Belt,12,49,800,16.3,4,1,3,3.0,0,50,803,16.1,4
JJ Arcega-Whiteside,Stanford,Pac-12,11,48,781,16.3,9,0,0,,0,48,781,16.3,9
Stanley Morgan Jr.,Nebraska,Big Ten,11,61,986,16.2,10,1,2,2.0,0,62,988,15.9,10
DaeSean Hamilton,Penn State,Big Ten,13,53,857,16.2,9,1,2,2.0,0,54,859,15.9,9
Jamarius Way,South Alabama,Sun Belt,11,47,762,16.2,3,6,37,6.2,0,53,799,15.1,3
Tony Ellison,Arizona,Pac-12,13,37,598,16.2,5,3,36,12.0,1,40,634,15.9,6
Brandon Presley,UNLV,MWC,12,34,552,16.2,3,5,40,8.0,0,39,592,15.2,3
Jordan Akins,UCF,American,11,32,515,16.1,4,0,0,,0,32,515,16.1,4
Courtland Sutton,SMU,American,13,68,1085,16.0,12,1,2,2.0,1,69,1087,15.8,13
Javon Wims,Georgia,SEC,14,45,720,16.0,7,0,0,,0,45,720,16.0,7
Darnell Salomon,South Florida,American,10,32,512,16.0,5,0,0,,0,32,512,16.0,5
Devin Gray,Cincinnati,American,12,28,444,15.9,3,0,0,,0,28,444,15.9,3
Jalen Guyton,North Texas,CUSA,12,49,775,15.8,9,3,12,4.0,0,52,787,15.1,9
Scotty Washington,Wake Forest,ACC,12,45,711,15.8,3,0,0,,0,45,711,15.8,3
Brendan O'Leary-Orange,Nevada,MWC,10,39,618,15.8,4,0,0,,0,39,618,15.8,4
Stephen Louis,North Carolina State,ACC,10,37,583,15.8,2,1,-6,-6.0,0,38,577,15.2,2
DeAndre Thompkins,Penn State,Big Ten,13,28,443,15.8,3,0,0,,0,28,443,15.8,3
Andy Isabella,Massachusetts,Ind,12,65,1020,15.7,10,14,135,9.6,1,79,1155,14.6,11
