Player,School,Conf,G,Pass Rec,Pass Yds,Pass Avg,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Plays,Yds,Avg,TD
Christopher Herndon IV,Miami (FL),ACC,11,40,477,11.9,4,0,0,,0,40,477,11.9,4
Timmy Hernandez,Oregon State,Pac-12,11,30,357,11.9,3,0,0,,0,30,357,11.9,3
Jordan Villamin,Oregon State,Pac-12,9,30,356,11.9,1,0,0,,0,30,356,11.9,1
Dalyn Dawkins,Colorado State,MWC,13,26,310,11.9,1,226,1399,6.2,8,252,1709,6.8,9
Taivon Jacobs,Maryland,Big Ten,12,47,553,11.8,5,2,6,3.0,0,49,559,11.4,5
Devin Ross,Colorado,Pac-12,10,43,508,11.8,2,3,21,7.0,0,46,529,11.5,2
Isaiah Harper,Old Dominion,CUSA,11,39,462,11.8,0,14,59,4.2,0,53,521,9.8,0
Aleva Hifo,Brigham Young,Ind,10,37,437,11.8,2,0,0,,0,37,437,11.8,2
Kamrin Solomon,Florida Atlantic,CUSA,11,33,388,11.8,1,5,22,4.4,0,38,410,10.8,1
Davontavean Martin,Washington State,Pac-12,11,31,366,11.8,6,0,0,,0,31,366,11.8,6
Jordan Cunningham,North Carolina,ACC,11,26,307,11.8,1,0,0,,0,26,307,11.8,1
Jeff Smith,Boston College,ACC,13,25,296,11.8,0,10,107,10.7,1,35,403,11.5,1
Simmie Cobbs,Indiana,Big Ten,12,72,841,11.7,8,0,0,,1,72,841,11.7,9
Willie Wright,Florida Atlantic,CUSA,12,56,657,11.7,6,19,139,7.3,1,75,796,10.6,7
Saquon Barkley,Penn State,Big Ten,13,54,632,11.7,3,217,1271,5.9,18,271,1903,7.0,21
Otis Anderson,UCF,American,12,30,351,11.7,3,69,494,7.2,4,99,845,8.5,7
Kyle Williams,Arizona State,Pac-12,13,66,763,11.6,7,10,86,8.6,0,76,849,11.2,7
Sean Savoy,Virginia Tech,ACC,12,39,454,11.6,4,24,116,4.8,2,63,570,9.0,6
Lil'Jordan Humphrey,Texas,Big 12,11,37,431,11.6,1,6,41,6.8,1,43,472,11.0,2
Donnie Ernsberger,Western Michigan,MAC,12,34,394,11.6,4,0,0,,0,34,394,11.6,4
Eric Kumah,Virginia Tech,ACC,10,28,324,11.6,2,0,0,,0,28,324,11.6,2
Dylan Cantrell,Texas Tech,Big 12,13,71,816,11.5,7,1,3,3.0,1,72,819,11.4,8
Jakobi Meyers,North Carolina State,ACC,12,63,727,11.5,5,5,-5,-1.0,0,68,722,10.6,5
Scott Miller,Bowling Green State,MAC,12,63,722,11.5,4,2,22,11.0,0,65,744,11.4,4
Anthony Muse,New Mexico State,Sun Belt,12,39,449,11.5,2,0,0,,0,39,449,11.5,2
Keelan Ewaliko,Hawaii,MWC,12,26,299,11.5,0,0,0,,0,26,299,11.5,0
Dylan Collie,Hawaii,MWC,11,56,636,11.4,4,1,23,23.0,0,57,659,11.6,4
Jhamon Ausbon,Texas A&M,SEC,12,50,571,11.4,3,0,0,,0,50,571,11.4,3
Kendrick Edwards,Arkansas State,Sun Belt,12,38,434,11.4,3,0,0,,0,38,434,11.4,3
Tevaris McCormick,Troy,Sun Belt,12,37,421,11.4,3,5,14,2.8,0,42,435,10.4,3
Gary Jennings,West Virginia,Big 12,13,97,1096,11.3,1,0,0,,0,97,1096,11.3,1
Cameron Echols-Luper,Western Kentucky,CUSA,9,42,473,11.3,4,2,6,3.0,0,44,479,10.9,4
Jared Murphy,Miami (OH),MAC,12,38,430,11.3,2,1,3,3.0,0,39,433,11.1,2
Patrick Smith,Middle Tennessee State,CUSA,10,29,329,11.3,2,0,0,,0,29,329,11.3,2
Bryce Bobo,Colorado,Pac-12,12,62,693,11.2,5,1,9,9.0,0,63,702,11.1,5
Garrett Johnson,Kentucky,SEC,12,48,539,11.2,2,2,12,6.0,0,50,551,11.0,2
Aaron Fuller,Washington,Pac-12,10,26,291,11.2,1,0,0,,0,26,291,11.2,1
Phillip Lindsay,Colorado,Pac-12,12,23,257,11.2,1,301,1474,4.9,14,324,1731,5.3,15
Linell Bonner,Houston,American,11,80,889,11.1,5,1,-2,-2.0,0,81,887,11.0,5
Kahlil Lewis,Cincinnati,American,12,61,676,11.1,7,2,33,16.5,0,63,709,11.3,7
Dax Raymond,Utah State,MWC,12,41,456,11.1,1,0,0,,0,41,456,11.1,1
David Ungerer,Idaho,Sun Belt,12,39,432,11.1,6,0,0,,0,39,432,11.1,6
Emanuel Thompson,Troy,Sun Belt,11,38,420,11.1,0,0,0,,0,38,420,11.1,0
Tyler Hoppes,Nebraska,Big Ten,12,34,377,11.1,3,0,0,,0,34,377,11.1,3
Mark Quattlebaum,Charlotte,CUSA,11,31,343,11.1,1,0,0,,0,31,343,11.1,1
Pharoah McKever,Florida International,CUSA,11,27,301,11.1,3,0,0,,0,27,301,11.1,3
Greg Campbell Jr.,UTSA,CUSA,10,27,300,11.1,0,8,75,9.4,0,35,375,10.7,0
Tre Walker,San Jose State,MWC,9,26,288,11.1,1,0,0,,0,26,288,11.1,1
Van Jefferson,Ole Miss,SEC,10,42,456,10.9,1,0,0,,0,42,456,10.9,1
Reggie Hemphill-Mapps,Texas,Big 12,12,37,402,10.9,0,8,31,3.9,0,45,433,9.6,0
Quin Jernighan,Western Kentucky,CUSA,10,36,393,10.9,3,1,-3,-3.0,0,37,390,10.5,3
Keyion Dixon,Connecticut,American,11,33,360,10.9,1,9,41,4.6,0,42,401,9.5,1
OrTre Smith,South Carolina,SEC,10,30,326,10.9,3,0,0,,0,30,326,10.9,3
Marcus Baugh,Ohio State,Big Ten,14,28,304,10.9,5,1,5,5.0,0,29,309,10.7,5
Maurice Ffrench,Pitt,ACC,11,25,272,10.9,0,9,71,7.9,0,34,343,10.1,0
Mike Dudek,Illinois,Big Ten,7,24,262,10.9,1,0,0,,0,24,262,10.9,1
Trey Quinn,SMU,American,13,114,1236,10.8,13,1,0,0.0,0,115,1236,10.7,13
Christian Blake,Northern Illinois,MAC,13,41,442,10.8,4,16,58,3.6,0,57,500,8.8,4
Garrett Dickerson,Northwestern,Big Ten,11,38,410,10.8,4,1,-1,-1.0,0,39,409,10.5,4
Dezmon Patmon,Washington State,Pac-12,9,35,379,10.8,0,0,0,,0,35,379,10.8,0
Allen Staggers,Southern Mississippi,CUSA,13,44,471,10.7,5,8,64,8.0,0,52,535,10.3,5
Trenton Irwin,Stanford,Pac-12,14,43,461,10.7,2,0,0,,0,43,461,10.7,2
Melvin Vaughn,Old Dominion,CUSA,8,33,354,10.7,4,0,0,,0,33,354,10.7,4
Theo Howard,UCLA,Pac-12,13,56,594,10.6,4,2,0,0.0,0,58,594,10.2,4
Matt Bushman,Brigham Young,Ind,13,49,520,10.6,3,0,0,,0,49,520,10.6,3
OJ Clark,New Mexico State,Sun Belt,11,47,500,10.6,3,0,0,,0,47,500,10.6,3
Charles Standberry,Louisville,ACC,13,29,306,10.6,4,0,0,,0,29,306,10.6,4
Olamide Zaccheaus,Virginia,ACC,13,85,895,10.5,5,27,182,6.7,1,112,1077,9.6,6
Jake Roh,Boise State,MWC,11,39,410,10.5,9,7,28,4.0,2,46,438,9.5,11
Sean Modster,Boise State,MWC,14,32,335,10.5,3,0,0,,0,32,335,10.5,3
Malik Turner,Illinois,Big Ten,10,31,326,10.5,0,0,0,,0,31,326,10.5,0
Gregory Hogan,New Mexico State,Sun Belt,10,26,272,10.5,1,0,0,,0,26,272,10.5,1
Chris Davis,New Mexico,MWC,11,25,262,10.5,1,0,0,,0,25,262,10.5,1
Nick Easley,Iowa,Big Ten,13,51,530,10.4,4,2,11,5.5,0,53,541,10.2,4
Justin Holmes,San Jose State,MWC,11,26,270,10.4,2,0,0,,0,26,270,10.4,2
Justin Hall,Ball State,MAC,12,78,801,10.3,3,11,59,5.4,0,89,860,9.7,3
Jacob Sannon,Idaho,Sun Belt,11,59,608,10.3,1,0,0,,0,59,608,10.3,1
Ray-Ray McCloud,Clemson,ACC,14,49,503,10.3,1,6,30,5.0,0,55,533,9.7,1
Desmon White,Texas Christian,Big 12,13,41,423,10.3,5,2,9,4.5,0,43,432,10.0,5
Keith Gavin,Florida State,ACC,10,27,278,10.3,0,1,6,6.0,0,28,284,10.1,0
Talon Shumway,Brigham Young,Ind,11,25,257,10.3,0,0,0,,0,25,257,10.3,0
Ethan Wolf,Tennessee,SEC,11,24,246,10.3,3,0,0,,0,24,246,10.3,3
Ervin Phillips,Syracuse,ACC,12,89,904,10.2,4,11,76,6.9,1,100,980,9.8,5
Flynn Nagel,Northwestern,Big Ten,13,48,489,10.2,2,1,4,4.0,0,49,493,10.1,2
Ammon Barker,Hawaii,MWC,11,39,398,10.2,1,0,0,,0,39,398,10.2,1
Brad Anderson,Middle Tennessee State,CUSA,9,33,338,10.2,3,89,491,5.5,0,122,829,6.8,3
Whop Philyor,Indiana,Big Ten,10,33,335,10.2,3,5,15,3.0,0,38,350,9.2,3
Jesse Jackson,Mississippi State,SEC,12,27,276,10.2,0,2,8,4.0,0,29,284,9.8,0
Samson Nacua,Utah,Pac-12,10,29,294,10.1,1,1,3,3.0,0,30,297,9.9,1
Alexander Mattison,Boise State,MWC,14,28,284,10.1,1,212,1086,5.1,12,240,1370,5.7,13
Jerome Washington,Rutgers,Big Ten,11,28,282,10.1,1,1,-2,-2.0,0,29,280,9.7,1
Tyler Mabry,Buffalo,MAC,11,24,242,10.1,1,0,0,,0,24,242,10.1,1
Hunter Renfrow,Clemson,ACC,14,60,602,10.0,3,0,0,,0,60,602,10.0,3
Isaiah Zuber,Kansas State,Big 12,13,51,510,10.0,4,2,35,17.5,0,53,545,10.3,4
Darrell Stewart Jr.,Michigan State,Big Ten,13,50,501,10.0,2,20,140,7.0,0,70,641,9.2,2
Trever Ryen,Iowa State,Big 12,13,47,469,10.0,1,2,7,3.5,0,49,476,9.7,1
Riley Miller,Ball State,MAC,11,30,300,10.0,1,0,0,,0,30,300,10.0,1
Da'Mari Scott,Fresno State,MWC,14,57,566,9.9,1,14,93,6.6,0,71,659,9.3,1
Mike Gesicki,Penn State,Big Ten,13,57,563,9.9,9,0,0,,0,57,563,9.9,9
C.J. Duncan,Vanderbilt,SEC,12,52,517,9.9,5,0,10,,0,52,527,10.1,5
Quay Johnson,East Carolina,American,10,47,464,9.9,3,3,3,1.0,0,50,467,9.3,3
Ito Smith,Southern Mississippi,CUSA,13,40,396,9.9,2,248,1415,5.7,13,288,1811,6.3,15
Devin Butler,Syracuse,ACC,12,33,327,9.9,1,2,14,7.0,0,35,341,9.7,1
K.J. Hill,Ohio State,Big Ten,14,56,549,9.8,3,2,1,0.5,0,58,550,9.5,3
Jonathan Ward,Central Michigan,MAC,13,48,470,9.8,3,178,1024,5.8,10,226,1494,6.6,13
Eric Cooper,Central Michigan,MAC,10,29,285,9.8,2,0,0,,0,29,285,9.8,2
Deshaunte Jones,Iowa State,Big 12,13,28,273,9.8,0,0,0,,0,28,273,9.8,0
Kelvin Smith,North Texas,CUSA,13,27,264,9.8,0,0,0,,0,27,264,9.8,0
Ryan Davis,Auburn,SEC,14,84,815,9.7,5,0,0,,0,84,815,9.7,5
Brandon Powell,Florida,SEC,11,42,406,9.7,3,4,15,3.8,1,46,421,9.2,4
Sean McKeon,Michigan,Big Ten,12,31,301,9.7,3,0,0,,0,31,301,9.7,3
Kyle Hicks,Texas Christian,Big 12,12,30,291,9.7,1,139,637,4.6,4,169,928,5.5,5
Ventell Bryant,Temple,American,10,29,280,9.7,0,0,0,,0,29,280,9.7,0
Terry Juniel,UTEP,CUSA,12,23,224,9.7,0,2,4,2.0,0,25,228,9.1,0
Gregory Phillips,Purdue,Big Ten,12,44,424,9.6,2,2,26,13.0,0,46,450,9.8,2
KaVontae Turpin,Texas Christian,Big 12,14,41,394,9.6,1,11,86,7.8,2,52,480,9.2,3
Quayvon Skanes,Connecticut,American,12,35,335,9.6,1,2,-1,-0.5,0,37,334,9.0,1
Kendal Keys,UNLV,MWC,11,27,260,9.6,3,0,0,,0,27,260,9.6,3
Nacarius Fant,Western Kentucky,CUSA,13,74,704,9.5,4,1,-21,-21.0,0,75,683,9.1,4
Larry Rose III,New Mexico State,Sun Belt,12,55,522,9.5,2,186,934,5.0,10,241,1456,6.0,12
Johnathan Lloyd,Duke,ACC,12,39,367,9.4,1,1,3,3.0,0,40,370,9.3,1
Richie James,Middle Tennessee State,CUSA,5,31,290,9.4,3,10,57,5.7,0,41,347,8.5,3
Shane Wimann,Northern Illinois,MAC,11,30,283,9.4,7,0,0,,0,30,283,9.4,7
Terry Wright,Purdue,Big Ten,10,29,274,9.4,0,5,45,9.0,0,34,319,9.4,0
Ronnie Turner Jr.,UAB,CUSA,9,28,262,9.4,1,0,0,,0,28,262,9.4,1
Isaiah Johnson-Mack,Washington State,Pac-12,12,60,555,9.3,5,0,0,,0,60,555,9.3,5
Jason Huntley,New Mexico State,Sun Belt,12,39,363,9.3,2,71,435,6.1,1,110,798,7.3,3
Michael Jacquet,Louisiana,Sun Belt,10,31,288,9.3,2,0,0,,0,31,288,9.3,2
Jordan Wilkins,Ole Miss,SEC,12,26,241,9.3,1,155,1011,6.5,9,181,1252,6.9,10
Kyle Sweet,Washington State,Pac-12,13,58,533,9.2,2,0,0,,0,58,533,9.2,2
Tony Gaiter IV,Florida International,CUSA,12,34,314,9.2,1,0,0,,0,34,314,9.2,1
Jaron Johnson,Eastern Michigan,MAC,12,23,212,9.2,1,0,0,,0,23,212,9.2,1
Ryan Yurachek,Marshall,CUSA,13,54,490,9.1,10,1,4,4.0,0,55,494,9.0,10
Keishawn Watson,Western Michigan,MAC,10,41,374,9.1,7,1,4,4.0,0,42,378,9.0,7
Jamire Calvin,Washington State,Pac-12,13,33,300,9.1,3,0,0,,0,33,300,9.1,3
Eli Stove,Auburn,SEC,14,29,265,9.1,0,30,315,10.5,2,59,580,9.8,2
D'Eriq King,Houston,American,10,29,264,9.1,2,72,379,5.3,8,101,643,6.4,10
Ravian Pierce,Syracuse,ACC,10,29,263,9.1,4,0,0,,0,29,263,9.1,4
Austin Conway,Wyoming,MWC,13,61,549,9.0,3,15,70,4.7,1,76,619,8.1,4
Tra'Von Chapman,Akron,MAC,14,53,475,9.0,2,0,0,,0,53,475,9.0,2
Jackson Anthrop,Purdue,Big Ten,13,47,423,9.0,5,10,17,1.7,2,57,440,7.7,7
Armanti Foreman,Texas,Big 12,9,31,280,9.0,4,5,32,6.4,1,36,312,8.7,5
Isaiah Hodgins,Oregon State,Pac-12,11,31,275,8.9,2,0,0,,0,31,275,8.9,2
Tyraiq Beals,Connecticut,American,11,30,266,8.9,0,2,4,2.0,0,32,270,8.4,0
Kenny Young,Miami (OH),MAC,11,29,259,8.9,2,143,781,5.5,6,172,1040,6.0,8
Ryan Nall,Oregon State,Pac-12,11,27,240,8.9,2,165,810,4.9,8,192,1050,5.5,10
Jaelon Darden,North Texas,CUSA,13,32,281,8.8,3,1,1,1.0,0,33,282,8.5,3
Chase Harrell,Kansas,Big 12,10,25,221,8.8,3,0,0,,0,25,221,8.8,3
Deondre Farrier,East Carolina,American,7,24,211,8.8,3,2,20,10.0,0,26,231,8.9,3
Luke Timian,Indiana,Big Ten,12,68,589,8.7,2,1,7,7.0,0,69,596,8.6,2
D.J. Brown,Northern Illinois,MAC,13,42,365,8.7,3,22,108,4.9,1,64,473,7.4,4
Justin Stockton,Texas Tech,Big 12,11,27,235,8.7,1,132,797,6.0,4,159,1032,6.5,5
Bryce Wolma,Arizona,Pac-12,10,28,241,8.6,2,0,0,,0,28,241,8.6,2
Josh Oliver,San Jose State,MWC,10,35,296,8.5,1,0,0,,0,35,296,8.5,1
Jamal Morrow,Washington State,Pac-12,13,60,506,8.4,5,86,522,6.1,4,146,1028,7.0,9
Tony Nicholson,Baylor,Big 12,11,41,344,8.4,0,4,41,10.3,0,45,385,8.6,0
Conner Cramer,New Mexico State,Sun Belt,11,33,277,8.4,2,0,0,,0,33,277,8.4,2
Zack Moss,Utah,Pac-12,13,29,243,8.4,0,214,1173,5.5,10,243,1416,5.8,10
Andrew Celis,Nevada,MWC,8,23,194,8.4,0,1,2,2.0,0,24,196,8.2,0
Qadree Ollison,Pitt,ACC,12,23,194,8.4,2,90,398,4.4,5,113,592,5.2,7
Cameron Batson,Texas Tech,Big 12,13,59,487,8.3,5,6,38,6.3,0,65,525,8.1,5
Tyler Watts,Texas State,Sun Belt,10,40,332,8.3,2,5,138,27.6,1,45,470,10.4,3
Evan Butts,Virginia,ACC,11,32,266,8.3,2,0,0,,0,32,266,8.3,2
David Montgomery,Iowa State,Big 12,13,36,296,8.2,0,258,1146,4.4,11,294,1442,4.9,11
Jordon Brown,North Carolina,ACC,12,29,237,8.2,0,138,613,4.4,4,167,850,5.1,4
John Kelly,Tennessee,SEC,11,37,299,8.1,0,189,778,4.1,9,226,1077,4.8,9
Glenn Smith,Georgia State,Sun Belt,12,47,377,8.0,1,170,594,3.5,3,217,971,4.5,4
Marquis Young,Massachusetts,Ind,12,35,280,8.0,2,182,982,5.4,9,217,1262,5.8,11
Jaylen Samuels,North Carolina State,ACC,13,75,593,7.9,4,78,407,5.2,12,153,1000,6.5,16
Connor Wedington,Stanford,Pac-12,13,31,243,7.8,0,3,57,19.0,0,34,300,8.8,0
Marcus Armstrong-Brown,Hawaii,MWC,9,24,184,7.7,1,0,0,,0,24,184,7.7,1
Justin Rankin,Kent State,MAC,12,42,311,7.4,2,123,490,4.0,3,165,801,4.9,5
Mike Boone,Cincinnati,American,10,24,177,7.4,1,110,463,4.2,4,134,640,4.8,5
Shaun Wilson,Duke,ACC,13,36,263,7.3,4,162,818,5.0,6,198,1081,5.5,10
Hussein Howe,East Carolina,American,12,30,219,7.3,0,96,419,4.4,3,126,638,5.1,3
Jordan Chunn,Troy,Sun Belt,10,28,204,7.3,0,154,774,5.0,10,182,978,5.4,10
Troy McCormick,Utah,Pac-12,11,25,183,7.3,2,10,60,6.0,0,35,243,6.9,2
Patrick Laird,California,Pac-12,11,45,322,7.2,1,191,1127,5.9,8,236,1449,6.1,9
Brandon Fritts,North Carolina,ACC,9,25,177,7.1,4,0,0,,0,25,177,7.1,4
David Hood,Temple,American,13,25,172,6.9,1,130,638,4.9,5,155,810,5.2,6
James Williams,Washington State,Pac-12,13,71,482,6.8,3,92,395,4.3,1,163,877,5.4,4
Adrian Killins,UCF,American,13,25,169,6.8,1,123,790,6.4,10,148,959,6.5,11
Tyler Cogswell,Cincinnati,American,11,23,149,6.5,2,0,0,,0,23,149,6.5,2
Nolan Givan,Ball State,MAC,11,25,159,6.4,4,0,0,,0,25,159,6.4,4
Justin Jackson,Northwestern,Big Ten,13,44,276,6.3,0,287,1311,4.6,11,331,1587,4.8,11
Lajuan Hunt,Utah State,MWC,13,30,187,6.2,1,169,828,4.9,11,199,1015,5.1,12
Justice Hill,Oklahoma State,Big 12,13,31,190,6.1,1,268,1467,5.5,15,299,1657,5.5,16
Nyheim Hines,North Carolina State,ACC,13,26,152,5.8,0,197,1113,5.6,12,223,1265,5.7,12
Diocemy Saint Juste,Hawaii,MWC,12,28,157,5.6,1,282,1510,5.4,7,310,1667,5.4,8
John Leday,Houston,American,11,25,141,5.6,1,1,3,3.0,0,26,144,5.5,1
JaMycal Hasty,Baylor,Big 12,8,25,105,4.2,0,76,314,4.1,1,101,419,4.1,1
