Player,Tm,Age,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck ,Y/P
Colton Schmidt,BUF,27,P,16,0,,,,,,,,,,,,,,,,,79,3529,60,0,44.7
Brett Kern,TEN,31,P,16,0,,,,,,,,,,,,,,,,,75,3728,74,0,49.7
Bradley Pinion,SFO,23,P/WR,16,0,,,,,,,,,,,,,,,,,75,3255,59,0,43.4
Drew Kaser,LAC,24,P,16,0,,,,,,,,,,,,,,3,1,33.3%,74,3558,69,0,48.1
Riley Dixon,DEN,24,P,16,0,,,,,,,,,,,,,,,,,73,3331,60,2,45.6
Michael Palardy,CAR,25,P,16,0,,,,,,,,,,,,,,,,,71,3269,63,0,46.0
Ryan Quigley,MIN,27,P,16,0,,,,,,,,,,,,,,,,,71,2994,56,0,42.2
Justin Vogel,GNB,24,P,16,0,,,,,,,,,,,,,,,,,71,3155,62,0,44.4
Marquette King,OAK,29,P,16,0,,,,,,,,,,,,,,,,,69,3270,65,0,47.4
Donnie Jones,PHI,37,P,16,0,,,,,,,,,,,,,,,,,67,3033,62,1,45.3
Chris Jones,DAL,28,P,16,0,,,,,,,,,,,,,,,,,66,2908,62,0,44.1
Bryan Anger,TAM,29,P,16,0,,,,,,,,,,,,,,,,,65,2857,62,1,44.0
Dustin Colquitt,KAN,35,P,16,0,,,,,,,,,,,,,,,,,65,2936,77,0,45.2
Johnny Hekker,LAR,27,P,16,0,,,,,,,,,,,,,,,,,65,3113,70,0,47.9
Jordan Berry,PIT,26,P,16,0,,,,,,,,,,,,,,,,,64,2763,62,0,43.2
Thomas Morstead,NOR,31,P,16,0,,,,,,,,,,,,,,,,,60,2822,68,0,47.0
Ryan Allen,NWE,27,P,16,0,,,,,,,,,,,,,,,,,58,2515,60,0,43.4
Matthew Bosher,ATL,30,P,16,0,,,,,,,,,,,,,,,,,53,2379,62,0,44.9
Sam Martin,DET,27,P,10,0,,,,,,,,,,,,,,,,,41,1779,64,0,43.4
Jeff Locke,DET,28,p,5,0,,,,,,,,,,,,,,,,,27,1222,54,0,45.3
Kasey Redfern,DET,26,p,1,0,,,,,,,,,,,,,,,,,1,50,50,0,50.0
Jeff Heath,DAL,26,SS,15,15,,,,,,,,,,,,,,3,2,66.7%,,,,,
Marshall Koehn,CIN,25,k,1,0,,,,,,,,,,,,,,1,1,100.0%,,,,,
