Player,Tm,Age,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck ,Y/P
Ka'imi Fairbairn,HOU,24,K,16,0,1,1,9,9,11,11,15,12,6,4,42,37,88.1%,41,39,95.1%,,,,,
Justin Tucker,BAL,29,K,16,0,,,12,12,9,9,11,9,7,5,39,35,89.7%,37,36,97.3%,,,,,
Mason Crosby,GNB,34,K,16,0,,,4,4,11,10,15,11,7,5,37,30,81.1%,36,34,94.4%,,,,,
Brett Maher,DAL,29,K,16,0,,,10,10,8,6,11,7,7,6,36,29,80.6%,33,32,97.0%,,,,,
Jason Myers,NYJ,27,K,16,0,,,4,4,13,12,12,11,7,6,36,33,91.7%,33,30,90.9%,,,,,
Robbie Gould,SFO,36,K,16,0,,,9,9,13,13,10,9,2,2,34,33,97.1%,29,27,93.1%,,,,,
Aldrick Rosas,NYG,24,K,16,0,,,9,9,13,13,6,6,5,4,33,32,97.0%,32,31,96.9%,,,,,
Stephen Gostkowski,NWE,34,K,16,0,,,11,11,10,10,6,4,5,2,32,27,84.4%,50,49,98.0%,,,,,
Matt Prater,DET,34,K,16,0,,,8,8,12,12,7,5,5,3,32,28,87.5%,30,30,100.0%,,,,,
Jake Elliott,PHI,23,K,16,0,,,7,7,11,10,8,7,5,2,31,26,83.9%,35,33,94.3%,,,,,
Greg Zuerlein,LAR,31,K,11,0,,,9,9,10,10,6,4,6,4,31,27,87.1%,36,35,97.2%,,,,,
Wil Lutz,NOR,24,K,16,0,1,1,5,5,9,9,12,11,3,2,30,28,93.3%,53,52,98.1%,,,,,
Cody Parkey,CHI,26,K,16,0,,,6,6,10,7,12,9,2,1,30,23,76.7%,45,42,93.3%,,,,,
Ryan Succop,TEN,32,K,16,0,,,6,5,13,13,7,5,4,3,30,26,86.7%,31,28,90.3%,,,,,
Dustin Hopkins,WAS,28,K,16,0,,,5,5,7,7,12,10,5,4,29,26,89.7%,26,25,96.2%,,,,,
Dan Bailey,MIN,30,K,14,0,,,6,5,11,11,9,4,2,1,28,21,75.0%,31,30,96.8%,,,,,
Stephen Hauschka,BUF,33,K,16,0,,,3,3,8,8,10,7,7,4,28,22,78.6%,26,25,96.2%,,,,,
Harrison Butker,KAN,23,K,16,0,,,9,9,7,7,7,6,4,2,27,24,88.9%,69,65,94.2%,,,,,
Sebastian Janikowski,SEA,40,K,16,0,,,2,2,11,9,9,8,5,3,27,22,81.5%,51,48,94.1%,,,,,
Adam Vinatieri,IND,46,K,16,0,,,8,8,7,6,6,5,6,4,27,23,85.2%,47,44,93.6%,,,,,
Brandon McManus,DEN,27,K,16,0,,,5,5,6,6,7,7,7,2,25,20,80.0%,35,35,100.0%,,,,,
Randy Bullock,CIN,29,K,16,0,,,4,4,8,7,6,6,5,2,23,19,82.6%,41,39,95.1%,,,,,
Matt Bryant,ATL,43,K,13,0,,,4,4,5,5,7,7,5,4,21,20,95.2%,35,33,94.3%,,,,,
Daniel Carlson,2TM,23,,12,0,,,2,2,4,3,12,9,3,3,21,17,81.0%,24,24,100.0%,,,,,
Josh Lambo,JAX,28,K,13,0,,,4,4,8,8,4,3,5,4,21,19,90.5%,20,19,95.0%,,,,,
Chris Boswell,PIT,27,K,15,0,,,3,3,6,4,10,5,1,1,20,13,65.0%,48,43,89.6%,,,,,
Chandler Catanzaro,2TM,27,,13,0,,,4,4,10,9,3,,3,3,20,16,80.0%,35,30,85.7%,,,,,
Greg Joseph,CLE,24,K,14,0,,,4,4,7,7,7,5,2,1,20,17,85.0%,29,25,86.2%,,,,,
Jason Sanders,MIA,23,K,16,0,,,7,7,3,3,9,7,1,1,20,18,90.0%,36,35,97.2%,,,,,
Cairo Santos,2TM,27,,9,0,1,1,4,4,6,6,6,3,1,,18,14,77.8%,23,22,95.7%,,,,,
