Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Larry Fitzgerald,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,33,6.8,6.7,63.9,2
Antonio Brown,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,51,8.3,7.1,85.6,0
Odell Beckham,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,75,8.1,6.3,85.4,3
Julian Edelman,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,77,7.0,6.1,69.1,3
Jordy Nelson,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,60,8.3,6.1,78.6,1
Mike Evans,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,45,7.6,6.0,82.6,0
Doug Baldwin,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,59,9.0,5.9,70.5,1
Jarvis Landry,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,71,8.7,5.9,71.0,2
Michael Thomas,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,46,9.4,6.1,75.8,2
T.Y. Hilton,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,63,9.3,5.7,90.5,0
Golden Tate,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,67,8.0,5.7,67.3,2
Demaryius Thomas,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,55,7.5,5.6,67.7,2
Michael Crabtree,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,6.9,5.6,62.7,2
Dennis Pitta,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,30,6.0,5.4,45.6,1
Travis Kelce,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,80,9.6,5.3,70.3,0
Stefon Diggs,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,46,8.1,6.5,69.5,0
Amari Cooper,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,64,8.7,5.2,72.1,2
Julio Jones,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,75,10.9,5.9,100.6,0
Kyle Rudolph,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,44,6.4,5.2,52.5,0
David Johnson,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,58,7.3,5.0,54.9,5
Greg Olsen,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,78,8.3,5.0,67.1,0
Pierre Garcon,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,70,9.1,4.9,65.1,0
Emmanuel Sanders,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,64,7.5,4.9,64.5,1
Brandin Cooks,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,98,10.0,4.9,73.3,1
Zach Ertz,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,30,7.7,5.6,58.3,0
DeAndre Hopkins,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,51,6.3,4.9,59.6,0
Terrelle Pryor,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,54,7.2,4.8,62.9,1
Davante Adams,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,66,8.2,4.7,62.3,2
Cole Beasley,DAL,27,fb/wr,16,6,98,75,76.5%,833,11.1,5,47,8.5,4.7,52.1,0
Le'Veon Bell,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,6.6,6.3,51.3,4
Jordan Matthews,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,54,6.9,5.2,57.4,1
Allen Robinson,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,42,5.8,4.6,55.2,1
Willie Snead,NOR,24,wr,15,4,104,72,69.2%,895,12.4,4,49,8.6,4.8,59.7,2
Mike Wallace,BAL,30,WR,16,16,116,72,62.1%,1017,14.1,4,95,8.8,4.5,63.6,1
Steve Smith,BAL,37,WR,14,14,101,70,69.3%,799,11.4,5,52,7.9,5.0,57.1,0
Adam Thielen,MIN,26,WR,16,10,92,69,75.0%,967,14.0,5,71,10.5,4.3,60.4,2
Tyrell Williams,SDG,24,WR,16,12,119,69,58.0%,1059,15.3,7,51,8.9,4.3,66.2,0
Jason Witten,DAL,34,TE,16,16,95,69,72.6%,673,9.8,3,35,7.1,4.3,42.1,1
Kenny Britt,LAR,28,WR,15,15,111,68,61.3%,1002,14.7,5,66,9.0,4.5,66.8,2
Anquan Boldin,DET,36,WR,16,16,95,67,70.5%,584,8.7,8,35,6.1,4.2,36.5,0
Jamison Crowder,WAS,23,WR,16,9,99,67,67.7%,847,12.6,7,55,8.6,4.2,52.9,2
A.J. Green,CIN,28,WR,10,10,100,66,66.0%,964,14.6,4,54,9.6,6.6,96.4,0
Cameron Meredith,CHI,24,WR,14,10,97,66,68.0%,888,13.5,4,50,9.2,4.7,63.4,3
Jordan Reed,WAS,26,TE,12,8,89,66,74.2%,686,10.4,6,33,7.7,5.5,57.2,1
Jimmy Graham,SEA,30,TE,16,15,95,65,68.4%,923,14.2,6,42,9.7,4.1,57.7,2
Rishard Matthews,TEN,27,WR,16,10,108,65,60.2%,945,14.5,9,60,8.8,4.1,59.1,1
Sterling Shepard,NYG,23,WR,16,16,105,65,61.9%,683,10.5,8,32,6.5,4.1,42.7,0
Delanie Walker,TEN,32,TE,15,10,102,65,63.7%,800,12.3,7,47,7.8,4.3,53.3,1
Jeremy Kerley,SFO,28,WR,16,13,115,64,55.7%,667,10.4,3,33,5.8,4.0,41.7,4
Brandon LaFell,CIN,30,WR,16,14,107,64,59.8%,862,13.5,6,86,8.1,4.0,53.9,0
Kelvin Benjamin,CAR,25,WR,16,13,118,63,53.4%,941,14.9,7,50,8.0,3.9,58.8,1
Marqise Lee,JAX,25,wr,16,6,105,63,60.0%,851,13.5,3,51,8.1,3.9,53.2,1
Eric Ebron,DET,23,TE,13,13,85,61,71.8%,711,11.7,1,61,8.4,4.7,54.7,0
Tyreek Hill,KAN,22,wr,16,1,83,61,73.5%,593,9.7,6,49,7.1,3.8,37.1,4
Randall Cobb,GNB,26,WR,13,10,84,60,71.4%,610,10.2,4,47,7.3,4.6,46.9,1
James White,NWE,24,rb,16,4,86,60,69.8%,551,9.2,5,61,6.4,3.8,34.4,0
Jack Doyle,IND,26,TE,16,14,75,59,78.7%,584,9.9,5,24,7.8,3.7,36.5,1
Brandon Marshall,NYJ,32,WR,15,15,128,59,46.1%,788,13.4,3,41,6.2,3.9,52.5,0
Mohamed Sanu,ATL,27,WR,15,15,81,59,72.8%,653,11.1,4,59,8.1,3.9,43.5,1
Tavon Austin,LAR,26,WR,15,15,106,58,54.7%,509,8.8,3,43,4.8,3.9,33.9,5
Quincy Enunwa,NYJ,24,WR,16,13,105,58,55.2%,857,14.8,4,69,8.2,3.6,53.6,0
Dontrelle Inman,SDG,27,WR,16,16,97,58,59.8%,810,14.0,4,57,8.4,3.6,50.6,0
Bilal Powell,NYJ,28,rb/wr,16,4,74,58,78.4%,388,6.7,2,22,5.2,3.6,24.3,1
Cameron Brate,TAM,25,TE,15,10,81,57,70.4%,660,11.6,8,38,8.1,3.8,44.0,1
Charles Clay,BUF,27,TE,15,15,87,57,65.5%,552,9.7,4,40,6.3,3.8,36.8,0
DeSean Jackson,WAS,30,WR,15,15,100,56,56.0%,1005,17.9,4,80,10.1,3.7,67.0,0
DeVante Parker,MIA,23,WR,15,8,87,56,64.4%,744,13.3,4,56,8.6,3.7,49.6,0
Gary Barnidge,CLE,31,TE,16,16,82,55,67.1%,612,11.1,2,43,7.5,3.4,38.3,0
Martellus Bennett,NWE,29,TE,16,12,73,55,75.3%,701,12.7,7,58,9.6,3.4,43.8,0
Adam Humphries,TAM,23,wr,15,4,83,55,66.3%,622,11.3,2,42,7.5,3.7,41.5,3
Marvin Jones,DET,26,WR,15,15,103,55,53.4%,930,16.9,4,73,9.0,3.7,62.0,0
Tyler Boyd,CIN,22,wr,16,2,81,54,66.7%,603,11.2,1,30,7.4,3.4,37.7,1
C.J. Fiedorowicz,HOU,25,TE,15,15,89,54,60.7%,559,10.4,4,26,6.3,3.6,37.3,1
Devonta Freeman,ATL,24,RB,16,16,65,54,83.1%,462,8.6,2,35,7.1,3.4,28.9,1
Ted Ginn,CAR,31,WR,16,8,95,54,56.8%,752,13.9,4,88,7.9,3.4,47.0,3
Antonio Gates,SDG,36,TE,14,9,93,53,57.0%,548,10.3,7,27,5.9,3.8,39.1,1
Duke Johnson,CLE,23,rb,16,1,74,53,71.6%,514,9.7,0,32,6.9,3.3,32.1,2
DeMarco Murray,TEN,28,RB,16,16,67,53,79.1%,377,7.1,3,35,5.6,3.3,23.6,3
Theo Riddick,DET,25,RB,10,8,67,53,79.1%,371,7.0,5,23,5.5,5.3,37.1,0
Alshon Jeffery,CHI,26,WR,12,12,94,52,55.3%,821,15.8,2,54,8.7,4.3,68.4,0
Cordarrelle Patterson,MIN,25,WR,16,8,70,52,74.3%,453,8.7,2,39,6.5,3.3,28.3,2
Darren Sproles,PHI,33,rb,15,5,71,52,73.2%,427,8.2,2,73,6.0,3.5,28.5,1
Robert Woods,BUF,24,WR,13,10,76,51,67.1%,613,12.0,1,34,8.1,3.9,47.2,0
Dez Bryant,DAL,28,WR,13,13,96,50,52.1%,796,15.9,8,56,8.3,3.8,61.2,1
Coby Fleener,NOR,28,TE,16,8,81,50,61.7%,631,12.6,3,50,7.8,3.1,39.4,2
Ryan Griffin,HOU,26,te,16,5,74,50,67.6%,442,8.8,2,45,6.0,3.1,27.6,1
Lance Kendricks,LAR,28,TE,16,16,87,50,57.5%,499,10.0,2,44,5.7,3.1,31.2,1
LeSean McCoy,BUF,28,RB,15,15,57,50,87.7%,356,7.1,1,41,6.2,3.3,23.7,3
T.J. Yeldon,JAX,23,RB,15,13,68,50,73.5%,312,6.2,1,17,4.6,3.3,20.8,2
Chris Thompson,WAS,26,,16,0,62,49,79.0%,349,7.1,2,38,5.6,3.1,21.8,2
Eli Rogers,PIT,24,wr,13,8,66,48,72.7%,594,12.4,3,39,9.0,3.7,45.7,2
Will Tye,NYG,25,TE,16,10,70,48,68.6%,395,8.2,1,27,5.6,3.0,24.7,0
Travis Benjamin,SDG,27,WR,14,8,75,47,62.7%,677,14.4,4,54,9.0,3.4,48.4,5
Will Fuller,HOU,22,WR,14,13,92,47,51.1%,635,13.5,2,53,6.9,3.4,45.4,2
Zach Miller,CHI,32,TE,10,8,64,47,73.4%,486,10.3,4,34,7.6,4.7,48.6,0
Mark Ingram,NOR,27,RB,16,14,58,46,79.3%,319,6.9,4,22,5.5,2.9,19.9,2
Chris Conley,KAN,24,WR,16,11,69,44,63.8%,530,12.0,0,39,7.7,2.8,33.1,1
Vernon Davis,WAS,32,TE/wr,16,14,59,44,74.6%,583,13.3,2,44,9.9,2.8,36.4,0
Jeremy Maclin,KAN,28,WR,12,12,76,44,57.9%,536,12.2,2,44,7.1,3.7,44.7,0
Ty Montgomery,GNB,23,rb,15,6,56,44,78.6%,348,7.9,0,24,6.2,2.9,23.2,2
Terrance Williams,DAL,27,WR,16,15,61,44,72.1%,594,13.5,4,47,9.7,2.8,37.1,1
Todd Gurley,LAR,22,RB,16,16,58,43,74.1%,327,7.6,0,33,5.6,2.7,20.4,2
Jerick McKinnon,MIN,24,rb,15,7,53,43,81.1%,255,5.9,2,41,4.8,2.9,17.0,0
Robby Anderson,NYJ,23,wr,16,8,78,42,53.8%,587,14.0,2,52,7.5,2.6,36.7,1
Kenny Stills,MIA,24,WR,16,16,81,42,51.9%,726,17.3,9,74,9.0,2.6,45.4,0
