Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
DJ Chark,JAX,22,,11,0,32,14,43.8%,174,12.4,0,38,5.4,1.3,15.8,1
Royce Freeman,DEN,22,RB,14,8,20,14,70.0%,72,5.1,0,9,3.6,1.0,5.1,1
Wayne Gallman,NYG,24,rb,15,2,22,14,63.6%,89,6.4,0,21,4.0,0.9,5.9,2
Justin Hardy,ATL,27,,16,0,22,14,63.6%,133,9.5,2,19,6.0,0.9,8.3,1
Jordan Leggett,NYJ,23,te,15,4,24,14,58.3%,114,8.1,1,16,4.8,0.9,7.6,0
Cody Core,CIN,24,wr,14,3,28,13,46.4%,160,12.3,1,30,5.7,0.9,11.4,0
Andre Holmes,2TM,30,,15,3,24,13,54.2%,162,12.5,0,24,6.8,0.9,10.8,0
Hayden Hurst,BAL,25,,12,0,23,13,56.5%,163,12.5,1,32,7.1,1.1,13.6,0
Chris Ivory,BUF,30,rb,13,1,21,13,61.9%,205,15.8,0,55,9.8,1.0,15.8,1
Keith Kirkwood,NOR,25,wr,8,1,21,13,61.9%,209,16.1,2,42,10.0,1.6,26.1,0
Damion Ratley,CLE,23,wr,13,3,20,13,65.0%,144,11.1,0,27,7.2,1.0,11.1,0
Luke Willson,DET,28,TE,14,8,19,13,68.4%,87,6.7,0,13,4.6,0.9,6.2,0
Dan Arnold,NOR,23,te,10,1,19,12,63.2%,150,12.5,1,25,7.9,1.2,15.0,1
Travis Benjamin,LAC,29,wr,12,3,24,12,50.0%,186,15.5,1,46,7.8,1.0,15.5,0
James Develin,NWE,30,fb/rb/te,16,8,17,12,70.6%,61,5.1,0,11,3.6,0.8,3.8,0
Ed Dickson,SEA,31,te,10,1,13,12,92.3%,143,11.9,3,42,11.0,1.2,14.3,0
Frank Gore,MIA,35,RB,14,14,16,12,75.0%,124,10.3,1,24,7.8,0.9,8.9,1
Demetrius Harris,KAN,27,te,15,3,25,12,48.0%,164,13.7,3,35,6.6,0.8,10.9,0
Brandon LaFell,OAK,32,wr,6,5,16,12,75.0%,135,11.3,2,24,8.4,2.0,22.5,0
Eli Rogers,PIT,26,wr,3,3,14,12,85.7%,79,6.6,0,17,5.6,4.0,26.3,1
Dalton Schultz,DAL,22,te,11,7,17,12,70.6%,116,9.7,0,17,6.8,1.1,10.5,0
Logan Thomas,BUF,27,te,12,3,17,12,70.6%,77,6.4,0,24,4.5,1.0,6.4,0
Jeff Wilson,SFO,23,rb,6,2,15,12,80.0%,98,8.2,0,24,6.5,2.0,16.3,3
Darren Fells,CLE,32,TE,16,11,12,11,91.7%,117,10.6,3,49,9.8,0.7,7.3,0
C.J. Ham,MIN,25,rb/te,15,2,15,11,73.3%,85,7.7,0,17,5.7,0.7,5.7,0
Darius Jennings,TEN,26,,16,0,15,11,73.3%,101,9.2,0,36,6.7,0.7,6.3,0
Andy Jones,DET,24,wr,8,3,24,11,45.8%,80,7.3,1,15,3.3,1.4,10.0,0
Cody Latimer,NYG,26,wr,6,2,16,11,68.8%,190,17.3,1,39,11.9,1.8,31.7,0
Brandon Marshall,SEA,34,wr,7,2,23,11,47.8%,136,12.4,1,27,5.9,1.6,19.4,0
Marcus Murphy,BUF,27,rb,11,1,19,11,57.9%,26,2.4,0,8,1.4,1.0,2.4,1
Bilal Powell,NYJ,30,rb,7,7,18,11,61.1%,110,10.0,1,28,6.1,1.6,15.7,2
Brandon Powell,DET,22,wr,6,1,17,11,64.7%,129,11.7,0,41,7.6,1.8,21.5,0
Austin Seferian-Jenkins,JAX,26,te,5,5,19,11,57.9%,90,8.2,1,21,4.7,2.2,18.0,0
LeGarrette Blount,DET,32,RB,16,8,15,10,66.7%,67,6.7,0,23,4.5,0.6,4.2,2
Deontay Burnett,NYJ,21,wr,5,1,15,10,66.7%,143,14.3,0,29,9.5,2.0,28.6,0
Michael Floyd,WAS,29,wr,13,3,24,10,41.7%,100,10.0,1,20,4.2,0.8,7.7,0
Marvin Hall,ATL,25,,16,0,19,10,52.6%,149,14.9,1,47,7.8,0.6,9.3,0
Carlos Hyde,2TM,28,,14,7,16,10,62.5%,33,3.3,0,9,2.1,0.7,2.4,2
Niles Paul,JAX,29,te,6,1,13,10,76.9%,98,9.8,0,22,7.5,1.7,16.3,0
Andre Roberts,NYJ,30,wr,16,1,17,10,58.8%,79,7.9,1,20,4.6,0.6,4.9,3
Russell Shepard,NYG,28,,12,0,19,10,52.6%,188,18.8,2,49,9.9,0.8,15.7,0
Lee Smith,OAK,31,te,16,4,11,10,90.9%,73,7.3,3,30,6.6,0.6,4.6,0
Kalen Ballage,MIA,23,,12,0,11,9,81.8%,56,6.2,0,31,5.1,0.8,4.7,1
Austin Carr,NOR,25,wr,14,2,14,9,64.3%,97,10.8,2,25,6.9,0.6,6.9,0
Corey Grant,JAX,27,rb,5,1,12,9,75.0%,67,7.4,0,16,5.6,1.8,13.4,0
Jermaine Gresham,ARI,30,TE,13,11,12,9,75.0%,94,10.4,0,26,7.8,0.7,7.2,1
Dontrell Hilliard,CLE,23,,11,0,10,9,90.0%,105,11.7,0,24,10.5,0.8,9.5,0
Richie James,SFO,23,wr,13,2,14,9,64.3%,130,14.4,1,53,9.3,0.7,10.0,2
Cameron Meredith,NOR,26,wr,6,1,10,9,90.0%,114,12.7,1,46,11.4,1.5,19.0,1
Logan Paulsen,ATL,31,TE,15,10,9,9,100.0%,91,10.1,1,19,10.1,0.6,6.1,0
Rashaad Penny,SEA,22,,14,0,12,9,75.0%,75,8.3,0,24,6.3,0.6,5.4,0
MyCole Pruitt,TEN,26,te,15,1,11,9,81.8%,102,11.3,1,27,9.3,0.6,6.8,0
Trey Quinn,WAS,23,wr,3,2,10,9,90.0%,75,8.3,1,15,7.5,3.0,25.0,0
Michael Roberts,DET,24,te,8,2,20,9,45.0%,100,11.1,3,29,5.0,1.1,12.5,0
Scott Simonson,NYG,26,te,16,4,14,9,64.3%,86,9.6,1,24,6.1,0.6,5.4,0
Rod Smith,DAL,26,rb,16,1,12,9,75.0%,60,6.7,0,14,5.0,0.6,3.8,0
Tavon Austin,DAL,28,,7,0,13,8,61.5%,140,17.5,2,64,10.8,1.1,20.0,0
Cameron Batson,TEN,23,wr,11,2,11,8,72.7%,82,10.3,0,26,7.5,0.7,7.5,1
Blake Bell,JAX,27,te,10,4,11,8,72.7%,67,8.4,0,16,6.1,0.8,6.7,0
Jake Butt,DEN,23,te,3,3,13,8,61.5%,85,10.6,0,22,6.5,2.7,28.3,0
Will Dissly,SEA,22,te,4,4,14,8,57.1%,156,19.5,2,66,11.1,2.0,39.0,0
Andy Janovich,DEN,25,fb,16,7,10,8,80.0%,112,14.0,1,32,11.2,0.5,7.0,0
Jake Kumerow,GNB,26,wr,5,2,11,8,72.7%,103,12.9,1,49,9.4,1.6,20.6,0
Taquan Mizzell,CHI,25,wr,9,1,10,8,80.0%,78,9.8,1,26,7.8,0.9,8.7,0
Alfred Morris,SFO,30,rb,12,1,13,8,61.5%,73,9.1,0,16,5.6,0.7,6.1,2
Nick O'Leary,MIA,26,te,12,7,10,8,80.0%,86,10.8,1,19,8.6,0.7,7.2,0
Elijhaa Penny,NYG,25,rb,14,3,9,8,88.9%,50,6.3,0,16,5.6,0.6,3.6,0
Anthony Sherman,KAN,30,fb,16,1,9,8,88.9%,96,12.0,1,36,10.7,0.5,6.0,0
Erik Swoope,IND,26,te,7,2,10,8,80.0%,87,10.9,3,26,8.7,1.1,12.4,0
Eric Tomlinson,NYJ,26,TE,15,12,14,8,57.1%,72,9.0,0,24,5.1,0.5,4.8,0
Josh Adams,PHI,22,rb,14,5,13,7,53.8%,58,8.3,0,13,4.5,0.5,4.1,1
Mo Alie-Cox,IND,25,te,9,1,13,7,53.8%,133,19.0,2,34,10.2,0.8,14.8,0
Antony Auclair,TAM,25,TE,16,10,8,7,87.5%,48,6.9,0,12,6.0,0.4,3.0,0
Derek Carrier,OAK,28,te,16,2,12,7,58.3%,67,9.6,1,23,5.6,0.4,4.2,0
Ronald Jones,TAM,21,,9,0,9,7,77.8%,33,4.7,0,15,3.7,0.8,3.7,0
T.J. Logan,ARI,24,,10,0,7,7,100.0%,37,5.3,0,17,5.3,0.7,3.7,0
Sony Michel,NWE,23,RB,13,8,11,7,63.6%,50,7.1,0,13,4.5,0.5,3.8,1
JJ Nelson,ARI,26,wr,14,2,19,7,36.8%,64,9.1,0,17,3.4,0.5,4.6,0
Zach Zenner,DET,27,rb,8,1,10,7,70.0%,56,8.0,0,30,5.6,0.9,7.0,0
Kamar Aiken,PHI,29,wr,5,1,7,6,85.7%,53,8.8,0,18,7.6,1.2,10.6,0
Tommy Bohanon,JAX,28,fb,16,6,9,6,66.7%,41,6.8,0,12,4.6,0.4,2.6,0
Brice Butler,2TM,28,,8,1,10,6,60.0%,60,10.0,1,23,6.0,0.8,7.5,0
Kenneth Dixon,BAL,24,,6,0,7,6,85.7%,51,8.5,0,21,7.3,1.0,8.5,2
Russell Gage,ATL,22,,15,0,10,6,60.0%,63,10.5,0,22,6.3,0.4,4.2,0
Rashad Greene,JAX,26,wr,8,1,8,6,75.0%,60,10.0,0,12,7.5,0.8,7.5,2
Xavier Grimble,PIT,26,te,16,2,8,6,75.0%,86,14.3,0,23,10.8,0.4,5.4,1
David Grinnage,JAX,24,te,4,2,8,6,75.0%,61,10.2,0,24,7.6,1.5,15.3,0
Dwayne Harris,OAK,31,wr,15,1,6,6,100.0%,40,6.7,0,13,6.7,0.4,2.7,2
Marcus Johnson,IND,24,,5,0,8,6,75.0%,102,17.0,1,34,12.8,1.2,20.4,0
Raheem Mostert,SFO,26,,9,0,7,6,85.7%,25,4.2,0,23,3.6,0.7,2.8,1
Durham Smythe,MIA,23,te,15,2,11,6,54.5%,50,8.3,0,21,4.5,0.4,3.3,0
Neal Sterling,NYJ,26,te,5,4,8,6,75.0%,47,7.8,0,12,5.9,1.2,9.4,0
Darren Waller,OAK,26,,4,0,6,6,100.0%,75,12.5,0,44,12.5,1.5,18.8,0
Jay Ajayi,PHI,25,rb,4,3,6,5,83.3%,20,4.0,0,12,3.3,1.3,5.0,1
C.J. Anderson,2TM,27,,11,3,9,5,55.6%,41,8.2,1,24,4.6,0.5,3.7,0
Malcolm Brown,LAR,25,,12,0,7,5,71.4%,52,10.4,1,18,7.4,0.4,4.3,0
Noah Brown,DAL,22,wr,8,2,8,5,62.5%,54,10.8,0,22,6.8,0.6,6.8,0
Garrett Celek,SFO,30,te,15,1,8,5,62.5%,90,18.0,2,41,11.3,0.3,6.0,0
Corey Coleman,NYG,24,wr,8,1,8,5,62.5%,71,14.2,0,30,8.9,0.6,8.9,0
Tyler Conklin,MIN,23,te,16,3,7,5,71.4%,77,15.4,0,33,11.0,0.3,4.8,0
Seth Devalve,CLE,25,te,13,4,7,5,71.4%,74,14.8,1,26,10.6,0.4,5.7,0
Devonta Freeman,ATL,26,rb,2,2,7,5,71.4%,23,4.6,0,14,3.3,2.5,11.5,0
Zach Line,NOR,28,fb,16,6,10,5,50.0%,14,2.8,2,5,1.4,0.3,0.9,0
Rishard Matthews,2TM,29,,8,0,9,5,55.6%,24,4.8,0,7,2.7,0.6,3.0,0
Ray-Ray McCloud,BUF,22,fb,10,1,6,5,83.3%,36,7.2,0,16,6.0,0.5,3.6,2
David Morgan,MIN,25,te,11,6,6,5,83.3%,36,7.2,0,13,6.0,0.5,3.3,0
Brian Parker,DEN,26,te,13,1,10,5,50.0%,33,6.6,0,11,3.3,0.4,2.5,0
Joshua Perkins,PHI,25,te,9,1,11,5,45.5%,67,13.4,0,30,6.1,0.6,7.4,0
Eric Saubert,ATL,24,te,16,1,9,5,55.6%,48,9.6,0,17,5.3,0.3,3.0,0
Adam Shaheen,CHI,24,te,6,4,6,5,83.3%,48,9.6,1,23,8.0,0.8,8.0,0
Keith Smith,OAK,26,fb,16,3,6,5,83.3%,23,4.6,0,8,3.8,0.3,1.4,0
Vyncint Smith,HOU,22,wr,7,1,10,5,50.0%,91,18.2,1,35,9.1,0.7,13.0,0
Jeremy Sprinkle,WAS,24,te/wr,16,9,9,5,55.6%,41,8.2,1,15,4.6,0.3,2.6,0
Mark Walton,CIN,21,,14,0,8,5,62.5%,41,8.2,0,24,5.1,0.4,2.9,0
Chad Beebe,MIN,24,,3,0,4,4,100.0%,39,9.8,0,18,9.8,1.3,13.0,0
Nick Bellore,DET,29,fb,14,4,4,4,100.0%,15,3.8,0,8,3.8,0.3,1.1,0
Jawill Davis,NYG,23,,7,0,8,4,50.0%,40,10.0,0,22,5.0,0.6,5.7,0
Jacob Hollister,NWE,25,wr,8,1,5,4,80.0%,52,13.0,0,23,10.4,0.5,6.5,0
Tyler Kroft,CIN,26,te,5,2,6,4,66.7%,36,9.0,0,16,6.0,0.8,7.2,0
Byron Marshall,WAS,24,,6,0,6,4,66.7%,30,7.5,0,17,5.0,0.7,5.0,0
Roosevelt Nix,PIT,26,,16,0,6,4,66.7%,38,9.5,0,19,6.3,0.3,2.4,0
Auden Tate,CIN,21,,7,0,12,4,33.3%,35,8.8,0,15,2.9,0.6,5.0,0
Robert Tonyan,GNB,24,te,16,1,6,4,66.7%,77,19.3,1,54,12.8,0.3,4.8,0
Delanie Walker,TEN,34,te,1,1,7,4,57.1%,52,13.0,0,16,7.4,4.0,52.0,0
Kevin White,CHI,26,,9,0,8,4,50.0%,92,23.0,0,54,11.5,0.4,10.2,0
Jesus Wilson,TAM,23,,5,0,5,4,80.0%,52,13.0,0,25,10.4,0.8,10.4,0
Javon Wims,CHI,24,,4,0,5,4,80.0%,32,8.0,0,16,6.4,1.0,8.0,0
Ameer Abdullah,2TM,25,,10,0,4,3,75.0%,28,9.3,0,12,7.0,0.3,2.8,1
Dwayne Allen,NWE,28,te/wr,13,8,4,3,75.0%,27,9.0,0,21,6.8,0.2,2.1,0
Cameron Artis-Payne,CAR,28,,9,0,4,3,75.0%,15,5.0,0,13,3.8,0.3,1.7,0
Brandon Bolden,MIA,28,,16,0,3,3,100.0%,13,4.3,1,9,4.3,0.2,0.8,1
Ben Braunecker,CHI,24,te,15,2,5,3,60.0%,42,14.0,0,20,8.4,0.2,2.8,0
Orson Charles,CLE,27,te,13,2,5,3,60.0%,23,7.7,0,9,4.6,0.2,1.8,0
A.J. Derby,MIA,27,,4,0,5,3,60.0%,48,16.0,1,19,9.6,0.8,12.0,0
Patrick DiMarco,BUF,29,fb,16,5,4,3,75.0%,62,20.7,0,38,15.5,0.2,3.9,0
Tyler Ervin,HOU,25,,9,0,3,3,100.0%,35,11.7,0,19,11.7,0.3,3.9,1
Keith Ford,BUF,24,rb,2,1,5,3,60.0%,21,7.0,0,8,4.2,1.5,10.5,0
Rico Gathers,DAL,24,te,15,4,7,3,42.9%,45,15.0,0,32,6.4,0.2,3.0,0
Taysom Hill,NOR,28,te/wr,16,4,7,3,42.9%,4,1.3,0,5,0.6,0.2,0.3,1
Justin Hunter,PIT,27,,5,0,13,3,23.1%,21,7.0,0,12,1.6,0.6,4.2,0
Matt Lengel,CIN,28,te,11,2,8,3,37.5%,17,5.7,1,9,2.1,0.3,1.5,0
Marcedes Lewis,GNB,34,te,16,4,4,3,75.0%,39,13.0,0,30,9.8,0.2,2.4,0
Tommylee Lewis,NOR,26,wr,7,3,3,3,100.0%,60,20.0,1,28,20.0,0.4,8.6,1
Ricky Ortiz,ATL,24,FB,12,9,4,3,75.0%,11,3.7,0,7,2.8,0.3,0.9,0
Samaje Perine,WAS,23,,5,0,4,3,75.0%,5,1.7,0,8,1.3,0.6,1.0,0
John Phillips,ARI,31,te,8,4,3,3,100.0%,38,12.7,0,24,12.7,0.4,4.8,0
C.J. Prosise,SEA,24,,5,0,3,3,100.0%,22,7.3,0,8,7.3,0.6,4.4,0
Brian Quick,WAS,29,wr,6,3,3,3,100.0%,18,6.0,0,6,6.0,0.5,3.0,0
Stevan Ridley,PIT,29,,10,0,4,3,75.0%,18,6.0,0,10,4.5,0.3,1.8,2
De'Anthony Thomas,KAN,25,,5,0,5,3,60.0%,29,9.7,1,15,5.8,0.6,5.8,1
Jalen Tolliver,ARI,23,wr,3,1,6,3,50.0%,37,12.3,0,15,6.2,1.0,12.3,0
Darrel Williams,KAN,23,,6,0,3,3,100.0%,27,9.0,1,11,9.0,0.5,4.5,0
Derrick Willies,CLE,24,,5,0,5,3,60.0%,61,20.3,0,39,12.2,0.6,12.2,1
Shaun Wilson,TAM,23,,5,0,5,3,60.0%,5,1.7,0,5,1.0,0.6,1.0,0
Mike Boone,MIN,23,,8,0,3,2,66.7%,1,0.5,0,1,0.3,0.3,0.1,0
Leonte Carroo,MIA,24,,9,0,4,2,50.0%,94,47.0,1,74,23.5,0.2,10.4,0
Jamaal Charles,JAX,32,,2,0,3,2,66.7%,7,3.5,0,5,2.3,1.0,3.5,0
Derrick Coleman,ARI,28,fb,16,4,3,2,66.7%,17,8.5,0,12,5.7,0.1,1.1,0
Alan Cross,TAM,25,te,14,3,5,2,40.0%,9,4.5,0,6,1.8,0.1,0.6,0
Ross Dwelley,SFO,23,,11,0,2,2,100.0%,14,7.0,0,8,7.0,0.2,1.3,0
Gus Edwards,BAL,23,rb,11,6,2,2,100.0%,20,10.0,0,13,10.0,0.2,1.8,0
D'Onta Foreman,HOU,22,,1,0,2,2,100.0%,28,14.0,1,20,14.0,2.0,28.0,1
Jordan Franks,CIN,22,,6,0,3,2,66.7%,37,18.5,0,32,12.3,0.3,6.2,0
KhaDarel Hodge,LAR,23,,14,0,3,2,66.7%,17,8.5,0,14,5.7,0.1,1.2,0
John Kelly,LAR,22,,4,0,3,2,66.7%,27,13.5,0,18,9.0,0.5,6.8,0
Jeremy Kerley,BUF,30,wr,1,1,4,2,50.0%,7,3.5,0,4,1.8,2.0,7.0,0
Tre Madden,SEA,25,fb,14,3,3,2,66.7%,35,17.5,0,28,11.7,0.1,2.5,0
Chris Manhertz,CAR,26,te,16,4,5,2,40.0%,52,26.0,1,50,10.4,0.1,3.3,0
J'Mon Moore,GNB,23,,12,0,3,2,66.7%,15,7.5,0,10,5.0,0.2,1.3,1
Detrez Newsome,LAC,24,,9,0,2,2,100.0%,19,9.5,0,11,9.5,0.2,2.1,0
Jamize Olawale,DAL,29,fb/rb/wr,16,4,4,2,50.0%,13,6.5,0,10,3.3,0.1,0.8,0
Charone Peake,NYJ,26,,13,0,3,2,66.7%,25,12.5,0,14,8.3,0.2,1.9,0
Dion Sims,CHI,27,te,8,4,4,2,50.0%,9,4.5,0,9,2.3,0.3,1.1,0
Roc Thomas,MIN,23,,5,0,4,2,50.0%,21,10.5,0,15,5.3,0.4,4.2,0
De'Lance Turner,BAL,23,,4,0,2,2,100.0%,17,8.5,0,10,8.5,0.5,4.3,0
Malik Turner,SEA,22,,6,0,3,2,66.7%,20,10.0,0,19,6.7,0.3,3.3,0
Hakeem Valles,DET,26,,3,0,3,2,66.7%,11,5.5,0,6,3.7,0.7,3.7,0
Joe Webb,HOU,32,,16,0,3,2,66.7%,13,6.5,0,7,4.3,0.1,0.8,0
Charcandrick West,KAN,27,,3,0,3,2,66.7%,37,18.5,1,25,12.3,0.7,12.3,0
Nick Williams,2TM,28,,4,0,5,2,40.0%,17,8.5,0,11,3.4,0.5,4.3,0
Terrance Williams,DAL,29,wr,3,2,3,2,66.7%,18,9.0,0,12,6.0,0.7,6.0,0
Alex Armah,CAR,24,fb/wr,16,2,1,1,100.0%,5,5.0,0,5,5.0,0.1,0.3,0
Kenjon Barner,2TM,28,,9,0,1,1,100.0%,3,3.0,0,3,3.0,0.1,0.3,1
Victor Bolden,2TM,23,,6,0,4,1,25.0%,10,10.0,0,10,2.5,0.2,1.7,0
Tom Brady,NWE,41,QB,16,16,1,1,100.0%,6,6.0,0,6,6.0,0.1,0.4,4
Drew Brees,NOR,39,QB,15,15,1,1,100.0%,1,1.0,0,1,1.0,0.1,0.1,5
Michael Burton,CHI,26,fb,8,1,1,1,100.0%,6,6.0,0,6,6.0,0.1,0.8,0
Damiere Byrd,CAR,25,,8,0,2,1,50.0%,8,8.0,0,8,4.0,0.1,1.0,0
Travaris Cadet,CAR,29,,1,0,1,1,100.0%,5,5.0,0,5,5.0,1.0,5.0,0
Derek Carr,OAK,27,QB,16,16,1,1,100.0%,-9,-9.0,0,-9,-9.0,0.1,-0.6,12
Jehu Chesson,WAS,25,,12,0,2,1,50.0%,7,7.0,0,7,3.5,0.1,0.6,0
Sammie Coates,HOU,25,,12,0,2,1,50.0%,12,12.0,0,12,6.0,0.1,1.0,0
Kirk Cousins,MIN,30,QB,16,16,1,1,100.0%,-1,-1.0,0,-1,-1.0,0.1,-0.1,9
River Cracraft,DEN,24,,8,0,2,1,50.0%,44,44.0,0,44,22.0,0.1,5.5,1
Dane Cruikshank,TEN,23,,12,0,1,1,100.0%,66,66.0,1,66,66.0,0.1,5.5,0
Sean Culkin,LAC,25,TE,13,10,1,1,100.0%,24,24.0,0,24,24.0,0.1,1.8,0
Benny Cunningham,CHI,28,,15,0,2,1,50.0%,9,9.0,0,9,4.5,0.1,0.6,0
Chase Daniel,CHI,32,qb,5,2,1,1,100.0%,8,8.0,0,8,8.0,0.2,1.6,4
Dion Dawkins,BUF,24,T,16,16,1,1,100.0%,7,7.0,1,7,7.0,0.1,0.4,0
Taylor Decker,DET,25,T,16,16,1,1,100.0%,11,11.0,1,11,11.0,0.1,0.7,0
Gehrig Dieter,KAN,25,,4,0,3,1,33.3%,22,22.0,0,22,7.3,0.3,5.5,0
George Fant,SEA,26,t/te,16,7,1,1,100.0%,9,9.0,0,9,9.0,0.1,0.6,0
Matt Flanagan,WAS,23,wr,3,1,1,1,100.0%,14,14.0,0,14,14.0,0.3,4.7,0
Nick Foles,PHI,29,qb,5,5,1,1,100.0%,10,10.0,0,15,10.0,0.2,2.0,4
Shelton Gibson,PHI,23,,15,0,3,1,33.3%,48,48.0,0,48,16.0,0.1,3.2,0
Mike Gillislee,NOR,28,,4,0,1,1,100.0%,9,9.0,0,9,9.0,0.3,2.3,1
Justin Hardee,NOR,24,,16,0,1,1,100.0%,10,10.0,0,10,10.0,0.1,0.6,0
Keon Hatcher,OAK,24,,3,0,2,1,50.0%,8,8.0,0,8,4.0,0.3,2.7,0
Ryan Hewitt,IND,27,te/wr,12,2,2,1,50.0%,1,1.0,1,1,0.5,0.1,0.1,0
Darrius Heyward-Bey,PIT,31,wr,14,2,2,1,50.0%,9,9.0,0,9,4.5,0.1,0.6,0
Brian Hill,ATL,23,,10,0,2,1,50.0%,9,9.0,0,9,4.5,0.1,0.9,1
Jeremy Hill,NWE,26,,1,0,1,1,100.0%,6,6.0,0,6,6.0,1.0,6.0,0
JJ Jones,2TM,26,,4,0,1,1,100.0%,3,3.0,0,3,3.0,0.3,0.8,2
Ryan Kelly,IND,25,C,12,12,1,1,100.0%,-4,-4.0,0,-4,-4.0,0.1,-0.3,1
Marcus Kemp,KAN,23,,16,0,2,1,50.0%,7,7.0,0,7,3.5,0.1,0.4,0
Darvin Kidsy,WAS,23,,2,0,2,1,50.0%,8,8.0,0,8,4.0,0.5,4.0,0
Allen Lazard,GNB,23,,1,0,1,1,100.0%,7,7.0,0,7,7.0,1.0,7.0,0
Khari Lee,BUF,26,,2,0,1,1,100.0%,5,5.0,0,5,5.0,0.5,2.5,0
Andrew Luck,IND,29,QB,16,16,2,1,50.0%,4,4.0,0,4,2.0,0.1,0.3,6
Josh Malone,CIN,22,,9,0,5,1,20.0%,12,12.0,0,12,2.4,0.1,1.3,0
Marcus Mariota,TEN,25,QB,14,13,1,1,100.0%,21,21.0,0,21,21.0,0.1,1.5,9
Johnny Mundt,LAR,24,,10,0,1,1,100.0%,5,5.0,0,5,5.0,0.1,0.5,0
Cam Phillips,BUF,23,,2,0,1,1,100.0%,9,9.0,0,9,9.0,0.5,4.5,0
Spencer Pulley,NYG,25,C,13,9,1,1,100.0%,-2,-2.0,0,-2,-2.0,0.1,-0.2,0
Richard Rodgers,PHI,26,,7,0,1,1,100.0%,7,7.0,0,7,7.0,0.1,1.0,0
Ben Roethlisberger,PIT,36,QB,16,16,1,1,100.0%,-1,-1.0,0,-1,-1.0,0.1,-0.1,7
Matt Ryan,ATL,33,QB,16,16,1,1,100.0%,5,5.0,1,5,5.0,0.1,0.3,10
Matt Schaub,ATL,37,,3,0,1,1,100.0%,-7,-7.0,0,-7,-7.0,0.3,-2.3,1
Sam Shields,LAR,31,cb/rcb,16,2,1,1,100.0%,12,12.0,0,12,12.0,0.1,0.8,0
Bradley Sowell,CHI,29,fb,16,1,2,1,50.0%,2,2.0,1,2,1.0,0.1,0.1,0
Joe Staley,SFO,34,T,16,16,1,1,100.0%,-5,-5.0,0,-5,-5.0,0.1,-0.3,0
Tyrone Swoopes,SEA,24,te,1,1,1,1,100.0%,23,23.0,0,23,23.0,1.0,23.0,0
Ryan Tannehill,MIA,30,QB,11,11,1,1,100.0%,3,3.0,1,3,3.0,0.1,0.3,5
Robert Turbin,IND,29,,2,0,2,1,50.0%,3,3.0,0,3,1.5,0.5,1.5,1
Alejandro Villanueva,PIT,30,T,16,16,1,1,100.0%,2,2.0,1,2,2.0,0.1,0.1,0
Danny Vitale,GNB,25,,5,0,2,1,50.0%,2,2.0,0,2,1.0,0.2,0.4,0
DeAndre Washington,OAK,25,,10,0,1,1,100.0%,9,9.0,0,9,9.0,0.1,0.9,1
Justin Watson,TAM,23,,12,0,3,1,33.3%,5,5.0,0,5,1.7,0.1,0.4,0
Derek Watt,LAC,26,fb,16,5,1,1,100.0%,2,2.0,0,2,2.0,0.1,0.1,0
Carson Wentz,PHI,26,QB,11,11,1,1,100.0%,4,4.0,0,4,4.0,0.1,0.4,9
Tim White,BAL,24,,3,0,1,1,100.0%,14,14.0,0,14,14.0,0.3,4.7,1
Jonathan Williams,NOR,24,,3,0,1,1,100.0%,1,1.0,0,1,1.0,0.3,0.3,0
Kyle Williams,BUF,35,dt/LDT/rdt,16,16,1,1,100.0%,9,9.0,0,9,9.0,0.1,0.6,0
Russell Wilson,SEA,30,QB,16,16,1,1,100.0%,-11,-11.0,0,-11,-11.0,0.1,-0.7,10
Brandon Zylstra,MIN,25,,16,0,2,1,50.0%,23,23.0,0,23,11.5,0.1,1.4,0
