Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Zay Jones,BUF,23,WR,16,15,102,56,54.9%,652,11.6,7,57,6.4,3.5,40.8,1
David Njoku,CLE,22,TE,16,14,88,56,63.6%,639,11.4,4,66,7.3,3.5,39.9,0
James Conner,PIT,23,RB,13,12,71,55,77.5%,497,9.0,1,29,7.0,4.2,38.2,4
Jimmy Graham,GNB,32,TE,16,12,89,55,61.8%,636,11.6,2,54,7.1,3.4,39.8,0
D.J. Moore,CAR,21,WR,16,10,82,55,67.1%,788,14.3,2,82,9.6,3.4,49.3,4
Allen Robinson,CHI,25,WR,13,12,94,55,58.5%,754,13.7,4,43,8.0,4.2,58.0,1
T.J. Yeldon,JAX,25,rb,14,5,78,55,70.5%,487,8.9,4,37,6.2,3.9,34.8,1
Trey Burton,CHI,27,TE,16,16,76,54,71.1%,569,10.5,6,47,7.5,3.4,35.6,1
Michael Crabtree,BAL,31,WR,16,16,100,54,54.0%,607,11.2,3,27,6.1,3.4,37.9,0
Jordan Reed,WAS,28,te/wr,13,8,84,54,64.3%,558,10.3,2,34,6.6,4.2,42.9,1
Kenyan Drake,MIA,24,rb,16,7,73,53,72.6%,477,9.0,5,52,6.5,3.3,29.8,2
Chester Rogers,IND,24,WR,16,10,72,53,73.6%,485,9.2,2,34,6.7,3.3,30.3,1
Robby Anderson,NYJ,25,WR,14,9,94,50,53.2%,752,15.0,6,76,8.0,3.6,53.7,2
Doug Baldwin,SEA,30,WR,13,13,73,50,68.5%,618,12.4,5,42,8.5,3.8,47.5,0
Melvin Gordon,LAC,25,RB,12,12,66,50,75.8%,490,9.8,4,66,7.4,4.2,40.8,1
David Johnson,ARI,27,RB,16,16,76,50,65.8%,446,8.9,3,40,5.9,3.1,27.9,3
Vance McDonald,PIT,28,TE,15,14,72,50,69.4%,610,12.2,4,75,8.5,3.3,40.7,2
Donte Moncrief,JAX,25,WR,16,14,89,48,53.9%,668,13.9,3,80,7.5,3.0,41.8,1
Rob Gronkowski,NWE,29,TE,13,11,72,47,65.3%,682,14.5,3,42,9.5,3.6,52.5,1
Duke Johnson,CLE,25,rb,16,2,62,47,75.8%,429,9.1,3,32,6.9,2.9,26.8,1
A.J. Green,CIN,30,WR,9,9,77,46,59.7%,694,15.1,6,38,9.0,5.1,77.1,2
Evan Engram,NYG,24,TE,11,8,64,45,70.3%,577,12.8,3,54,9.0,4.1,52.5,0
Seth Roberts,OAK,27,wr,15,7,64,45,70.3%,494,11.0,2,44,7.7,3.0,32.9,0
Josh Doctson,WAS,26,WR,15,12,78,44,56.4%,532,12.1,2,32,6.8,2.9,35.5,0
Devin Funchess,CAR,24,WR,14,12,79,44,55.7%,549,12.5,4,27,6.9,3.1,39.2,0
Antonio Callaway,CLE,21,WR,16,11,79,43,54.4%,586,13.6,5,71,7.4,2.7,36.6,1
Christian Kirk,ARI,22,wr,12,7,68,43,63.2%,590,13.7,3,75,8.7,3.6,49.2,0
Joe Mixon,CIN,22,RB,14,13,55,43,78.2%,296,6.9,1,21,5.4,3.1,21.1,0
C.J. Uzomah,CIN,25,TE,16,15,64,43,67.2%,439,10.2,3,29,6.9,2.7,27.4,0
Mike Williams,LAC,24,wr,16,5,66,43,65.2%,664,15.4,10,55,10.1,2.7,41.5,0
Jarius Wright,CAR,29,fb/wr,16,6,59,43,72.9%,447,10.4,1,33,7.6,2.7,27.9,3
Kendrick Bourne,SFO,23,WR,16,8,66,42,63.6%,487,11.6,4,33,7.4,2.6,30.4,1
John Brown,BAL,28,WR,16,15,97,42,43.3%,715,17.0,5,71,7.4,2.6,44.7,0
Courtland Sutton,DEN,23,WR,16,9,84,42,50.0%,704,16.8,4,42,8.4,2.6,44.0,0
Josh Gordon,2TM,27,,12,12,71,41,57.7%,737,18.0,4,55,10.4,3.4,61.4,0
DeSean Jackson,TAM,32,WR,12,10,74,41,55.4%,774,18.9,4,75,10.5,3.4,64.5,0
Chris Thompson,WAS,28,,10,0,55,41,74.5%,268,6.5,1,23,4.9,4.1,26.8,1
Tyrell Williams,LAC,26,lcb/wr,16,10,65,41,63.1%,653,15.9,5,75,10.0,2.6,40.8,2
Dalvin Cook,MIN,23,RB,11,10,49,40,81.6%,305,7.6,2,27,6.2,3.6,27.7,2
Cooper Kupp,LAR,25,WR,8,8,55,40,72.7%,566,14.2,6,70,10.3,5.0,70.8,0
Sammy Watkins,KAN,25,WR,10,9,55,40,72.7%,519,13.0,3,50,9.4,4.0,51.9,1
Austin Ekeler,LAC,23,rb,14,3,53,39,73.6%,404,10.4,3,44,7.6,2.8,28.9,1
Chris Herndon,NYJ,22,TE,16,12,56,39,69.6%,502,12.9,4,32,9.0,2.4,31.4,2
Rashard Higgins,CLE,24,wr,13,1,53,39,73.6%,572,14.7,4,40,10.8,3.0,44.0,2
Curtis Samuel,CAR,22,WR,13,8,65,39,60.0%,494,12.7,5,53,7.6,3.0,38.0,1
