Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A ,AY/A ,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
Nelson Agholor,PHI,25,WR,16,16,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.0,15.0,0.9,118.7,100.0,0,0,15.00,15.00,0.0,,
Danny Amendola,MIA,33,WR,15,15,,1,1,100.0,28,1,100.0,0,0.0,28,28.0,48.0,28.0,1.9,158.3,100.0,0,0,28.00,48.00,0.0,,
Bryan Anger,TAM,30,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
Cole Beasley,DAL,29,wr,16,4,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,29.6,0,0,0.00,0.00,0.0,,
Corey Bojorquez,BUF,22,P,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
Chris Boswell,PIT,27,K,15,0,,1,1,100.0,2,1,100.0,0,0.0,2,2.0,22.0,2.0,0.1,118.7,,0,0,2.00,22.00,0.0,,
Tyler Boyd,CIN,24,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.0,0,0,0.00,0.00,0.0,,
Antonio Brown,PIT,30,WR,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.1,0,0,0.00,0.00,0.0,,
Kevin Byard,TEN,25,FS,16,16,,1,1,100.0,66,1,100.0,0,0.0,66,66.0,86.0,66.0,4.1,158.3,,0,0,66.00,86.00,0.0,,
Tarik Cohen,CHI,23,rb/wr,16,7,,1,1,100.0,1,1,100.0,0,0.0,1,1.0,21.0,1.0,0.1,118.7,100.0,0,0,1.00,21.00,0.0,,
Logan Cooke,JAX,23,P,16,0,,1,1,100.0,4,0,0.0,0,0.0,4,4.0,4.0,4.0,0.3,83.3,,0,0,4.00,4.00,0.0,,
Eric Ebron,IND,25,te/wr,16,8,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
Bruce Ellington,2TM,27,,7,3,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
Larry Fitzgerald,ARI,35,WR,16,16,,1,1,100.0,32,1,100.0,0,0.0,32,32.0,52.0,32.0,2.0,158.3,100.0,0,0,32.00,52.00,0.0,,
Dontrell Hilliard,CLE,23,,11,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.00,-45.00,0.0,,
DeAndre Hopkins,HOU,26,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,3.2,0,0,0.00,0.00,0.0,,
Darius Jennings,TEN,26,,16,0,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.3,118.7,99.9,0,0,21.00,21.00,0.0,,
Zay Jones,BUF,23,WR,16,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.00,0.00,0.0,,
Sam Koch,BAL,36,P,16,0,,1,1,100.0,21,0,0.0,0,0.0,21,21.0,21.0,21.0,1.3,118.7,12.9,0,0,21.00,21.00,0.0,,
Christian McCaffrey,CAR,22,RB,16,16,,1,1,100.0,50,1,100.0,0,0.0,50,50.0,70.0,50.0,3.1,158.3,100.0,0,0,50.00,70.00,0.0,,
Anthony Miller,CHI,24,wr,15,4,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,0.5,100.0,82.7,0,0,8.00,8.00,0.0,,
Matt Prater,DET,34,K,16,0,,1,1,100.0,8,1,100.0,0,0.0,8,8.0,28.0,8.0,0.5,139.6,,0,0,8.00,28.00,0.0,,
Emmanuel Sanders,DEN,31,WR,12,12,,1,1,100.0,28,1,100.0,0,0.0,28,28.0,48.0,28.0,2.3,158.3,100.0,0,0,28.00,48.00,0.0,,
JK Scott,GNB,22,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.00,0.00,0.0,,
Kenny Stills,MIA,26,WR,15,15,,1,1,100.0,3,1,100.0,0,0.0,3,3.0,23.0,3.0,0.2,118.7,100.0,0,0,3.00,23.00,0.0,,
Logan Thomas,BUF,27,te,12,3,,1,1,100.0,15,0,0.0,0,0.0,15,15.0,15.0,15.0,1.3,118.7,,0,0,15.00,15.00,0.0,,
Colby Wadman,DEN,23,P,12,0,,1,1,100.0,12,0,0.0,0,0.0,12,12.0,12.0,12.0,1.0,116.7,,0,0,12.00,12.00,0.0,,
Tress Way,WAS,28,P,16,0,,1,1,100.0,7,0,0.0,0,0.0,7,7.0,7.0,7.0,0.4,95.8,,0,0,7.00,7.00,0.0,,
Dede Westbrook,JAX,25,WR,16,9,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,11.1,0,0,0.00,0.00,0.0,,
Albert Wilson,MIA,26,wr,7,3,,1,1,100.0,52,1,100.0,0,0.0,52,52.0,72.0,52.0,7.4,158.3,99.7,0,0,52.00,72.00,0.0,,
