Player,Tm,Age,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,FG%,XPA,XPM,XP%,Pnt,Yds,Lng,Blck ,Y/P
Dustin Hopkins,WAS,26,K,16,0,,,12,12,14,12,9,7,7,3,42,34,81.0%,39,36,92.3%,,,,,
Nick Novak,HOU,35,K,16,0,1,1,12,12,11,11,11,8,6,3,41,35,85.4%,25,22,88.0%,,,,,
Caleb Sturgis,PHI,27,K,16,0,,,12,12,12,12,11,7,6,4,41,35,85.4%,31,30,96.8%,,,,,
Justin Tucker,BAL,27,K,16,0,,,4,4,11,10,14,14,10,10,39,38,97.4%,27,27,100.0%,,,,,
Graham Gano,CAR,29,K,16,0,,,4,4,11,9,17,14,6,3,38,30,78.9%,34,31,91.2%,4,180,54,0,45.0
Matt Bryant,ATL,41,K,16,0,,,12,12,8,7,9,9,8,6,37,34,91.9%,57,56,98.2%,2,67,36,0,33.5
Stephen Hauschka,SEA,31,K,16,0,,,13,11,13,13,10,8,1,1,37,33,89.2%,35,29,82.9%,,,,,
Matt Prater,DET,32,K,16,0,,,10,10,5,4,14,10,7,7,36,31,86.1%,33,31,93.9%,,,,,
Sebastian Janikowski,OAK,38,K,16,0,1,1,9,9,6,6,11,10,8,3,35,29,82.9%,39,37,94.9%,,,,,
Cairo Santos,KAN,25,K,16,0,,,9,8,17,15,7,6,2,2,35,31,88.6%,39,36,92.3%,,,,,
Wil Lutz,NOR,22,K,16,0,1,1,7,7,11,9,8,8,7,3,34,28,82.4%,50,49,98.0%,,,,,
Brandon McManus,DEN,25,K,16,0,,,9,9,10,10,9,7,6,3,34,29,85.3%,33,32,97.0%,,,,,
Jason Myers,JAX,25,K,16,0,,,7,7,4,3,11,10,12,7,34,27,79.4%,32,29,90.6%,,,,,
Dan Bailey,DAL,28,K,16,0,,,9,9,8,8,9,7,6,3,32,27,84.4%,46,46,100.0%,,,,,
Stephen Gostkowski,NWE,32,K,16,0,,,9,9,9,7,10,9,4,2,32,27,84.4%,49,46,93.9%,,,,,
Josh Lambo,SDG,26,K,16,0,,,7,7,14,13,8,6,3,,32,26,81.3%,46,42,91.3%,,,,,
Roberto Aguayo,TAM,22,K,16,0,,,5,5,15,13,10,4,1,,31,22,71.0%,34,32,94.1%,,,,,
Nick Folk,NYJ,32,K,16,0,,,13,12,11,10,3,3,4,2,31,27,87.1%,26,24,92.3%,,,,,
Adam Vinatieri,IND,44,K,16,0,,,3,3,7,7,12,10,9,7,31,27,87.1%,44,44,100.0%,,,,,
Mason Crosby,GNB,32,K,16,0,1,1,6,6,15,13,6,5,2,1,30,26,86.7%,47,44,93.6%,,,,,
Mike Nugent,CIN,34,K,13,0,,,9,9,10,9,7,5,3,,29,23,79.3%,29,23,79.3%,,,,,
Chandler Catanzaro,ARI,25,K,16,0,1,1,6,5,7,6,8,6,6,3,28,21,75.0%,47,43,91.5%,2,66,47,0,33.0
Chris Boswell,PIT,25,K,15,0,,,2,2,9,8,12,11,2,,25,21,84.0%,36,36,100.0%,,,,,
Dan Carpenter,BUF,31,K,16,0,1,1,8,8,5,5,9,4,2,1,25,19,76.0%,45,40,88.9%,,,,,
Cody Parkey,CLE,24,K,14,0,,,6,6,6,6,12,7,1,1,25,20,80.0%,21,20,95.2%,,,,,
Ryan Succop,TEN,30,K,16,0,1,1,4,4,6,6,8,8,5,3,24,22,91.7%,41,39,95.1%,,,,,
Connor Barth,CHI,30,K,16,0,,,8,7,8,7,4,3,3,1,23,18,78.3%,32,31,96.9%,,,,,
Greg Zuerlein,LAR,29,K,16,0,,,5,5,9,9,4,3,4,2,22,19,86.4%,23,23,100.0%,,,,,
Phil Dawson,SFO,41,K,16,0,,,4,4,6,6,9,7,2,1,21,18,85.7%,34,33,97.1%,,,,,
Andrew Franks,MIA,23,K,16,0,,,10,8,6,6,3,1,2,1,21,16,76.2%,42,41,97.6%,,,,,
Blair Walsh,MIN,26,K,9,0,1,1,1,1,6,5,6,4,2,1,16,12,75.0%,19,15,78.9%,,,,,
