Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
Jarvis Landry,MIA,25,WR,16,16,161,112,69.6%,987,8.8,9,49,6.1,7.0,61.7,4
Larry Fitzgerald,ARI,34,WR,16,16,161,109,67.7%,1156,10.6,6,37,7.2,6.8,72.3,1
Michael Thomas,NOR,24,WR,16,14,149,104,69.8%,1245,12.0,5,43,8.4,6.5,77.8,0
Keenan Allen,LAC,25,WR,16,15,159,102,64.2%,1393,13.7,6,51,8.8,6.4,87.1,1
Antonio Brown,PIT,29,WR,14,14,163,101,62.0%,1533,15.2,9,57,9.4,7.2,109.5,4
DeAndre Hopkins,HOU,25,WR,15,15,174,96,55.2%,1378,14.4,13,72,7.9,6.4,91.9,1
Golden Tate,DET,29,WR,16,12,120,92,76.7%,1003,10.9,5,71,8.4,5.8,62.7,1
Adam Thielen,MIN,27,WR,16,16,142,91,64.1%,1276,14.0,4,65,9.0,5.7,79.8,3
Julio Jones,ATL,28,WR,16,16,148,88,59.5%,1444,16.4,3,53,9.8,5.5,90.3,0
Le'Veon Bell,PIT,25,RB,15,15,106,85,80.2%,655,7.7,2,42,6.2,5.7,43.7,3
Travis Kelce,KAN,28,TE,15,15,122,83,68.0%,1038,12.5,8,44,8.5,5.5,69.2,0
Demaryius Thomas,DEN,30,WR,16,16,140,83,59.3%,949,11.4,5,40,6.8,5.2,59.3,1
Alvin Kamara,NOR,22,fb/rb,16,3,100,81,81.0%,826,10.2,5,40,8.3,5.1,51.6,1
Jack Doyle,IND,27,TE,15,15,108,80,74.1%,690,8.6,4,26,6.4,5.3,46.0,2
Christian McCaffrey,CAR,21,RB,16,10,113,80,70.8%,651,8.1,5,37,5.8,5.0,40.7,2
Doug Baldwin,SEA,29,WR,16,16,116,75,64.7%,991,13.2,8,54,8.5,4.7,61.9,0
A.J. Green,CIN,29,WR,16,16,143,75,52.4%,1078,14.4,8,77,7.5,4.7,67.4,2
Tyreek Hill,KAN,23,WR,15,13,105,75,71.4%,1183,15.8,7,79,11.3,5.0,78.9,2
Davante Adams,GNB,25,WR,14,14,117,74,63.2%,885,12.0,10,55,7.6,5.3,63.2,0
Zach Ertz,PHI,27,TE,14,13,110,74,67.3%,824,11.1,8,53,7.5,5.3,58.9,1
Duke Johnson,CLE,24,,16,0,93,74,79.6%,693,9.4,3,41,7.5,4.6,43.3,4
Delanie Walker,TEN,33,TE,16,11,111,74,66.7%,807,10.9,3,42,7.3,4.6,50.4,2
Mike Evans,TAM,24,WR,15,15,136,71,52.2%,1001,14.1,5,42,7.4,4.7,66.7,1
Dez Bryant,DAL,29,WR,16,16,132,69,52.3%,838,12.1,6,50,6.3,4.3,52.4,1
Rob Gronkowski,NWE,28,TE,14,14,105,69,65.7%,1084,15.7,8,53,10.3,4.9,77.4,1
Mohamed Sanu,ATL,28,WR,15,15,96,67,69.8%,703,10.5,5,25,7.3,4.5,46.9,0
Randall Cobb,GNB,27,WR,15,14,92,66,71.7%,653,9.9,4,46,7.1,4.4,43.5,1
Jamison Crowder,WAS,24,wr,15,6,103,66,64.1%,789,12.0,3,41,7.7,4.4,52.6,6
Brandin Cooks,NWE,24,WR,16,15,114,65,57.0%,1082,16.6,7,64,9.5,4.1,67.6,0
Jermaine Kearse,NYJ,27,WR,16,14,102,65,63.7%,810,12.5,5,51,7.9,4.1,50.6,1
Stefon Diggs,MIN,24,WR,14,14,95,64,67.4%,849,13.3,8,59,8.9,4.6,60.6,0
Evan Engram,NYG,23,TE,15,11,115,64,55.7%,722,11.3,6,35,6.3,4.3,48.1,0
Todd Gurley,LAR,23,RB,15,15,87,64,73.6%,788,12.3,6,80,9.1,4.3,52.5,5
Robby Anderson,NYJ,24,WR,16,15,114,63,55.3%,941,14.9,7,69,8.3,3.9,58.8,0
Devin Funchess,CAR,23,WR,16,16,111,63,56.8%,840,13.3,8,44,7.6,3.9,52.5,0
Jason Witten,DAL,35,TE,16,16,87,63,72.4%,560,8.9,5,28,6.4,3.9,35.0,1
Nelson Agholor,PHI,24,WR,16,10,95,62,65.3%,768,12.4,8,72,8.1,3.9,48.0,0
Cooper Kupp,LAR,24,wr,15,6,94,62,66.0%,869,14.0,5,64,9.2,4.1,57.9,1
Danny Amendola,NWE,32,WR,15,8,86,61,70.9%,659,10.8,2,27,7.7,4.1,43.9,2
Adam Humphries,TAM,24,wr,16,3,83,61,73.5%,631,10.3,1,43,7.6,3.8,39.4,1
Marvin Jones,DET,27,WR,16,16,107,61,57.0%,1101,18.0,9,58,10.3,3.8,68.8,0
Ben Watson,BAL,37,TE,16,12,79,61,77.2%,522,8.6,4,33,6.6,3.8,32.6,1
Carlos Hyde,SFO,27,RB,16,16,88,59,67.0%,350,5.9,0,18,4.0,3.7,21.9,2
LeSean McCoy,BUF,29,RB,16,16,77,59,76.6%,448,7.6,2,39,5.8,3.7,28.0,3
Sterling Shepard,NYG,24,WR,11,10,84,59,70.2%,731,12.4,2,77,8.7,5.4,66.5,1
Kendall Wright,CHI,28,wr,16,4,91,59,64.8%,614,10.4,1,22,6.7,3.7,38.4,0
Michael Crabtree,OAK,30,WR,14,14,101,58,57.4%,618,10.7,8,41,6.1,4.1,44.1,1
Melvin Gordon,LAC,24,RB,16,16,83,58,69.9%,476,8.2,4,49,5.7,3.6,29.8,1
Mark Ingram,NOR,28,RB,16,13,71,58,81.7%,416,7.2,0,54,5.9,3.6,26.0,3
JuJu Smith-Schuster,PIT,21,wr,14,7,79,58,73.4%,917,15.8,7,97,11.6,4.1,65.5,0
Kenny Stills,MIA,25,WR,16,16,105,58,55.2%,847,14.6,6,61,8.1,3.6,52.9,4
Jimmy Graham,SEA,31,TE,16,13,96,57,59.4%,520,9.1,10,33,5.4,3.6,32.5,0
T.Y. Hilton,IND,28,WR,16,16,109,57,52.3%,966,16.9,4,80,8.9,3.6,60.4,2
Alshon Jeffery,PHI,27,WR,16,16,120,57,47.5%,789,13.8,9,53,6.6,3.6,49.3,0
DeVante Parker,MIA,24,WR,13,12,96,57,59.4%,670,11.8,1,36,7.0,4.4,51.5,1
Kyle Rudolph,MIN,28,TE,16,16,81,57,70.4%,532,9.3,8,34,6.6,3.6,33.3,0
Marquise Goodwin,SFO,27,WR,16,16,105,56,53.3%,962,17.2,2,83,9.2,3.5,60.1,0
Marqise Lee,JAX,26,WR,14,14,96,56,58.3%,702,12.5,3,45,7.3,4.0,50.1,1
James White,NWE,25,rb,14,4,72,56,77.8%,429,7.7,3,27,6.0,4.0,30.6,0
Robert Woods,LAR,25,WR,12,11,85,56,65.9%,781,13.9,5,94,9.2,4.7,65.1,1
Jared Cook,OAK,30,TE,16,16,86,54,62.8%,688,12.7,2,35,8.0,3.4,43.0,1
Eric Decker,TEN,30,WR,16,8,83,54,65.1%,563,10.4,1,29,6.8,3.4,35.2,0
Tarik Cohen,CHI,22,rb/wr,16,4,71,53,74.6%,353,6.7,1,70,5.0,3.3,22.1,3
Eric Ebron,DET,24,TE,16,9,86,53,61.6%,574,10.8,4,44,6.7,3.3,35.9,1
Ted Ginn,NOR,32,WR,15,10,70,53,75.7%,787,14.8,4,54,11.2,3.5,52.5,2
Kareem Hunt,KAN,22,RB,16,16,63,53,84.1%,455,8.6,3,78,7.2,3.3,28.4,1
Rishard Matthews,TEN,28,WR,14,11,87,53,60.9%,795,15.0,4,75,9.1,3.8,56.8,0
Jordy Nelson,GNB,32,WR,15,15,88,53,60.2%,482,9.1,6,58,5.5,3.5,32.1,0
Theo Riddick,DET,26,rb,16,5,71,53,74.6%,444,8.4,2,63,6.3,3.3,27.8,1
Terrance Williams,DAL,28,WR,16,14,78,53,67.9%,568,10.7,0,56,7.3,3.3,35.5,0
Brandon LaFell,CIN,31,WR,16,15,89,52,58.4%,548,10.5,3,45,6.2,3.3,34.3,1
Mike Wallace,BAL,31,WR,15,14,92,52,56.5%,748,14.4,4,66,8.1,3.5,49.9,0
Jerick McKinnon,MIN,25,rb,16,1,68,51,75.0%,421,8.3,2,41,6.2,3.2,26.3,3
Martavis Bryant,PIT,26,WR,15,8,84,50,59.5%,603,12.1,3,51,7.2,3.3,40.2,0
DeSean Jackson,TAM,31,WR,14,13,90,50,55.6%,668,13.4,3,41,7.4,3.6,47.7,0
Austin Seferian-Jenkins,NYJ,25,TE,13,10,74,50,67.6%,357,7.1,3,28,4.8,3.8,27.5,1
Charles Clay,BUF,28,TE,13,13,74,49,66.2%,558,11.4,2,44,7.5,3.8,42.9,1
Austin Hooper,ATL,23,TE,16,8,65,49,75.4%,526,10.7,3,88,8.1,3.1,32.9,0
Kelvin Benjamin,2TM,26,,14,14,78,48,61.5%,692,14.4,3,43,8.9,3.4,49.4,0
Cameron Brate,TAM,26,te,16,6,77,48,62.3%,591,12.3,6,35,7.7,3.0,36.9,1
Amari Cooper,OAK,23,WR,14,12,96,48,50.0%,680,14.2,7,87,7.1,3.4,48.6,1
Emmanuel Sanders,DEN,30,WR,12,11,92,47,51.1%,555,11.8,2,38,6.0,3.9,46.3,0
Javorius Allen,BAL,26,,16,0,60,46,76.7%,250,5.4,2,20,4.2,2.9,15.6,0
Ryan Grant,WAS,27,wr,16,7,65,45,69.2%,573,12.7,4,40,8.8,2.8,35.8,0
Hunter Henry,LAC,23,fb/tb/TE,14,13,62,45,72.6%,579,12.9,4,34,9.3,3.2,41.4,0
Tyler Lockett,SEA,25,WR,16,8,71,45,63.4%,555,12.3,2,74,7.8,2.8,34.7,0
Paul Richardson,SEA,25,WR,16,13,80,44,55.0%,703,16.0,6,61,8.8,2.8,43.9,0
Shane Vereen,NYG,28,,16,0,53,44,83.0%,253,5.8,0,20,4.8,2.8,15.8,0
Giovani Bernard,CIN,26,rb,16,2,60,43,71.7%,389,9.0,2,61,6.5,2.7,24.3,0
Vernon Davis,WAS,33,TE/wr,16,16,69,43,62.3%,648,15.1,3,69,9.4,2.7,40.5,2
Jesse James,PIT,23,TE,16,14,63,43,68.3%,372,8.7,3,32,5.9,2.7,23.3,0
George Kittle,SFO,24,te,15,7,63,43,68.3%,515,12.0,2,44,8.2,2.9,34.3,0
Seth Roberts,OAK,26,wr,15,7,65,43,66.2%,455,10.6,1,29,7.0,2.9,30.3,2
Trent Taylor,SFO,23,wr,15,1,60,43,71.7%,430,10.0,2,33,7.2,2.9,28.7,1
Tyrell Williams,LAC,25,WR,16,15,69,43,62.3%,728,16.9,4,75,10.6,2.7,45.5,1
Keelan Cole,JAX,24,wr,16,6,83,42,50.6%,748,17.8,3,75,9.0,2.6,46.8,2
Tyler Kroft,CIN,25,TE,16,16,62,42,67.7%,404,9.6,7,59,6.5,2.6,25.3,0
Albert Wilson,KAN,25,wr,13,7,62,42,67.7%,554,13.2,3,63,8.9,3.2,42.6,0
Julius Thomas,MIA,29,TE,14,13,62,41,66.1%,388,9.5,3,27,6.3,2.9,27.7,1
Pierre Garcon,SFO,31,WR,8,8,67,40,59.7%,500,12.5,0,59,7.5,5.0,62.5,0
Jeremy Maclin,BAL,29,WR,12,12,72,40,55.6%,440,11.0,3,48,6.1,3.3,36.7,0
Andre Ellington,2TM,28,,12,2,59,39,66.1%,369,9.5,0,29,6.3,3.3,30.8,0
Allen Hurns,JAX,26,WR,10,8,56,39,69.6%,484,12.4,2,50,8.6,3.9,48.4,0
DeMarco Murray,TEN,29,RB,15,15,47,39,83.0%,266,6.8,1,18,5.7,2.6,17.7,1
Chris Thompson,WAS,27,rb,10,1,54,39,72.2%,510,13.1,4,74,9.4,3.9,51.0,3
Sammy Watkins,LAR,24,WR,15,14,70,39,55.7%,593,15.2,8,67,8.5,2.6,39.5,0
Deonte Thompson,2TM,28,,16,10,69,38,55.1%,555,14.6,2,46,8.0,2.4,34.7,1
Matt Forte,NYJ,32,rb,12,4,45,37,82.2%,293,7.9,1,34,6.5,3.1,24.4,1
Cole Beasley,DAL,28,wr,15,4,63,36,57.1%,314,8.7,4,54,5.0,2.4,20.9,0
Leonard Fournette,JAX,22,RB,13,13,48,36,75.0%,302,8.4,1,28,6.3,2.8,23.2,2
Devonta Freeman,ATL,25,RB,14,14,47,36,76.6%,317,8.8,1,29,6.7,2.6,22.6,4
Roger Lewis,NYG,24,WR,15,8,72,36,50.0%,416,11.6,2,34,5.8,2.4,27.7,0
Lamar Miller,HOU,26,RB,16,13,45,36,80.0%,327,9.1,3,32,7.3,2.3,20.4,1
Torrey Smith,PHI,28,WR,16,14,67,36,53.7%,430,11.9,2,59,6.4,2.3,26.9,0
Josh Doctson,WAS,25,WR,16,14,78,35,44.9%,502,14.3,6,52,6.4,2.2,31.4,0
Charles Sims,TAM,27,,16,0,47,35,74.5%,249,7.1,1,25,5.3,2.2,15.6,1
Travis Benjamin,LAC,28,wr,16,3,62,34,54.8%,567,16.7,4,62,9.1,2.1,35.4,2
Corey Davis,TEN,22,WR,11,9,65,34,52.3%,375,11.0,0,37,5.8,3.1,34.1,1
Wayne Gallman,NYG,23,rb,13,1,48,34,70.8%,193,5.7,1,11,4.0,2.6,14.8,3
Chris Godwin,TAM,21,wr,16,2,55,34,61.8%,525,15.4,1,70,9.5,2.1,32.8,0
Chris Hogan,NWE,30,wr,9,7,59,34,57.6%,439,12.9,5,47,7.4,3.8,48.8,0
J.D. McKissic,SEA,24,rb,13,1,46,34,73.9%,266,7.8,2,27,5.8,2.6,20.5,0
DeAndre Washington,OAK,24,,15,0,45,34,75.6%,197,5.8,1,15,4.4,2.3,13.1,2
Seth Devalve,CLE,24,te,16,4,58,33,56.9%,395,12.0,1,49,6.8,2.1,24.7,1
Taylor Gabriel,ATL,26,wr,16,4,51,33,64.7%,378,11.5,1,40,7.4,2.1,23.6,0
