Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
116,Austin Hooper,ATL,TE,9,88.6,
117,Tre'Quan Smith,NO,WR,9,106.55,
118,Mike Williams,LAC,WR,12,106.06,
119,T.J. Hockenson,DET,TE,5,87.52,
120,David Njoku,CLE,TE,7,87.45,
121,Robby Anderson,NYJ,WR,4,104.75,Undisclosed | Questionable for Week 1
122,Alexander Mattison,MIN,RB,12,102.43,
123,Devin Funchess,IND,WR,6,103.83,
124,Elijah McGuire,NYJ,RB,4,101.48,
125,Royce Freeman,DEN,RB,10,101.46,
126,Christian Kirk,ARI,WR,12,103.31,
127,Will Dissly,SEA,TE,11,84.71,Kneecap | Questionable for Week 1
128,Darwin Thompson,KC,RB,12,99.95,
129,Preston Williams,MIA,WR,5,101.55,
130,Devonta Freeman,ATL,RB,9,99.62,
131,Greg Olsen,CAR,TE,7,84.09,
132,David Moore,SEA,WR,11,100.81,
133,Trey Burton,CHI,TE,6,83.62,Sports Hernia | Questionable for Week 1
134,D.J. Moore,CAR,WR,7,100.47,
135,Dede Westbrook,JAC,WR,10,100.11,
136,Jalen Hurd,SF,WR,4,100.05,Knee | Questionable for Week 1
137,Cameron Brate,TB,TE,7,83.11,
138,Anthony Miller,CHI,WR,6,99.57,Shoulder | Questionable for Week 1
139,Tyrell Williams,OAK,WR,6,99.17,
140,Chris Hogan,CAR,WR,7,98.5,
141,John Brown,BUF,WR,6,98.41,
142,Antonio Callaway,CLE,WR,7,98.35,
143,Adam Humphries,TEN,WR,11,98.27,
144,Jamaal Williams,GB,RB,11,96.43,
145,Allen Robinson,CHI,WR,6,98.13,
146,Spencer Ware,IND,RB,6,96.3,
147,Dontrelle Inman,NE,WR,10,97.98,
148,Curtis Samuel,CAR,WR,7,97.48,
149,Kenny Stills,MIA,WR,5,96.66,Undisclosed | Questionable for Week 1
150,Damien Williams,KC,RB,12,94.7,
151,Devine Ozigbo,NO,RB,9,94.1,
152,Vance McDonald,PIT,TE,7,79.39,
153,Duke Johnson,CLE,RB,7,93.7,
154,Nyheim Hines,IND,RB,6,93.46,
155,Nelson Agholor,PHI,WR,10,95.06,Leg | Questionable for Week 1
156,Courtland Sutton,DEN,WR,10,94.97,
157,Ted Ginn,NO,WR,9,94.66,
158,Zach Zenner,DET,RB,5,92.92,
159,Mike Davis,CHI,RB,6,92.56,
160,Darren Sproles,PHI,RB,10,92.28,
161,Jordan Reed,WAS,TE,10,77.77,Foot | Questionable for Week 1
162,Justin Jackson,LAC,RB,12,91.36,
163,Damien Harris,NE,RB,10,91.03,
164,Jerick McKinnon,SF,RB,4,90.96,Knee - ACL | Questionable for Week 1
165,Delanie Walker,TEN,TE,11,76.73,
166,Josh Adams,PHI,RB,10,90.21,Shoulder | Questionable for Week 1
167,Jamison Crowder,NYJ,WR,4,91.26,
168,Marqise Lee,JAC,WR,10,90.64,Knee - ACL | Questionable for Week 1
169,Corey Davis,TEN,WR,11,90.52,
170,Kenneth Dixon,BAL,RB,8,88.42,
171,Dallas Goedert,PHI,TE,10,74.68,
172,Wendell Smallwood,PHI,RB,10,88.23,
173,Vernon Davis,WAS,TE,10,74.47,
174,Jack Doyle,IND,TE,6,74.44,Hip | Questionable for Week 1
175,Terry McLaurin,WAS,WR,10,89.45,
176,Donte Moncrief,PIT,WR,7,88.88,
177,Jeremy Sprinkle,WAS,TE,10,73.38,
178,Zay Jones,BUF,WR,6,88.19,Undisclosed | Questionable for Week 1
179,Marquise Goodwin,SF,WR,4,87.77,
180,Terrelle Pryor,JAC,WR,10,87.4,
181,Travis Homer,SEA,RB,11,85.5,
182,Noah Fant,DEN,TE,10,72.06,
183,Ryquell Armstead,JAC,RB,10,84.92,Hamstring | Questionable for Week 1
184,Taylor Gabriel,CHI,WR,6,86.26,
185,Josh Reynolds,LAR,WR,9,85.95,
186,Giovani Bernard,CIN,RB,9,83.81,
187,Lil'Jordan Humphrey,NO,WR,9,85.24,
188,Chris Thompson,WAS,RB,10,83.53,
189,Anthony Johnson,TB,WR,7,84.84,
190,Mike Weber,DAL,RB,8,83.06,
191,Keke Coutee,HOU,WR,10,84.11,
192,Javorius Allen,NO,RB,9,82.32,
193,Ty Montgomery,NYJ,RB,4,82.08,
194,Ito Smith,ATL,RB,9,81.88,
195,Qadree Ollison,ATL,RB,9,81.1,
196,Jason Witten,DAL,TE,8,68.59,
197,Theo Riddick,DET,RB,5,80.84,
198,Marquez Valdes-Scantling,GB,WR,11,82.21,
199,Jalen Richard,OAK,RB,6,79.83,
200,Geronimo Allison,GB,WR,11,80.76,
201,Demetrius Harris,CLE,TE,7,66.81,
202,DaMarkus Lodge,TB,WR,7,80.4,
203,Mark Andrews,BAL,TE,8,66.26,
204,Paul Richardson,WAS,WR,10,79.34,Shoulder | Questionable for Week 1
205,Elijah Holyfield,CAR,RB,7,77.67,
206,Tyler Eifert,CIN,TE,9,65.6,Ankle | Questionable for Week 1
207,Garrett Celek,SF,TE,4,65.51,Back | Questionable for Week 1
208,DaeSean Hamilton,DEN,WR,10,78.86,
209,Rex Burkhead,NE,RB,10,77.17,
210,DeVante Parker,MIA,WR,5,78.56,
211,Diontae Johnson,PIT,WR,7,78.28,
212,Damarea Crockett,HOU,RB,10,76.1,
213,Scott Miller,TB,WR,7,76.7,
214,Keelan Cole,JAC,WR,10,76.62,
215,Trey Quinn,WAS,WR,10,76.6,
216,D'Onta Foreman,HOU,RB,10,74.89,
217,Rashard Higgins,CLE,WR,7,75.78,
218,Josh Doctson,WAS,WR,10,75.63,
219,Jaron Brown,SEA,WR,11,75.46,
220,Rashaad Penny,SEA,RB,11,73.87,
221,Randall Cobb,DAL,WR,8,75.14,
222,Jordan Thomas,HOU,TE,10,61.89,
223,Willie Snead,BAL,WR,8,74.44,
224,KeeSean Johnson,ARI,WR,12,74.24,
225,Cole Beasley,BUF,WR,6,74.08,Abdomen | Questionable for Week 1
226,Quincy Enunwa,NYJ,WR,4,73.55,
227,Ricky Seals-Jones,ARI,TE,12,61.05,
228,Alfred Blue,JAC,RB,10,70.49,
229,Ian Thomas,CAR,TE,7,59.64,Leg | Questionable for Week 1
230,Blake Jarwin,DAL,TE,8,59.58,
231,Ed Dickson,SEA,TE,11,59.49,
232,Aldrick Robinson,CAR,WR,7,71.34,Hamstring | Questionable for Week 1
233,Jesse James,DET,TE,5,59.15,
234,Mo Alie-Cox,IND,TE,6,59.08,
235,Corey Clement,PHI,RB,10,69.68,Knee | Questionable for Week 1
236,C.J. Uzomah,CIN,TE,9,58.58,
237,Kendrick Bourne,SF,WR,4,69.85,
238,Breshad Perriman,TB,WR,7,69.0,
239,Danny Amendola,DET,WR,5,68.52,
240,Cameron Artis-Payne,CAR,RB,7,66.94,
241,Torrey Smith,CAR,WR,7,68.01,Knee | Questionable for Week 1
242,Jeff Wilson,SF,RB,4,66.69,
243,Cordarrelle Patterson,CHI,WR,6,67.59,
244,Michael Gallup,DAL,WR,8,67.58,
245,Miles Boykin,BAL,WR,8,67.57,Hamstring | Questionable for Week 1
246,Dan Arnold,NO,TE,9,55.37,
247,Vyncint Smith,HOU,WR,10,66.13,
248,Jake Kumerow,GB,WR,11,66.13,
249,Mecole Hardman,KC,WR,12,65.93,
250,Jay Ajayi,FA,RB,,64.37,
251,Cameron Meredith,NO,WR,9,65.22,Knee | Questionable for Week 1
252,Cody Latimer,NYG,WR,11,64.98,
253,Phillip Dorsett,NE,WR,10,64.78,
254,Seth Roberts,BAL,WR,8,64.66,
255,Darius Slayton,NYG,WR,11,64.61,
256,Chris Herndon,NYJ,TE,4,53.29,Suspension | Suspended until Week 6
257,Tim Patrick,DEN,WR,10,64.14,
258,Keith Kirkwood,NO,WR,9,63.97,Undisclosed | Questionable for Week 1
259,Riley Ridley,CHI,WR,6,63.83,
260,Nick O'Leary,MIA,TE,5,52.91,
261,Gerald Everett,LAR,TE,9,52.78,
262,Anthony Firkser,TEN,TE,11,52.58,Undisclosed | Questionable for Week 1
263,Devontae Booker,DEN,RB,10,61.94,
264,Jermaine Kearse,DET,WR,5,62.97,
265,Jordan Matthews,SF,WR,4,62.36,
266,Jordan Scarlett,CAR,RB,7,61.12,
267,Travis Fulgham,DET,WR,5,61.32,
268,Jeff Heuerman,DEN,TE,10,50.4,
269,Darren Fells,HOU,TE,10,50.18,
270,Russell Shepard,NYG,WR,11,59.99,
271,Trent Sherfield,ARI,WR,12,59.88,
272,Tajae Sharpe,TEN,WR,11,59.7,
273,Tavon Austin,DAL,WR,8,59.51,Undisclosed | Questionable for Week 1
274,Ryan Griffin,NYJ,TE,4,48.9,
275,Alex Collins,FA,RB,,57.42,Leg | Out for Week 1
276,Chester Rogers,IND,WR,6,57.92,
277,Adam Shaheen,CHI,TE,6,47.19,
278,Dez Bryant,FA,WR,,56.4,
279,Seth DeValve,CLE,TE,7,46.82,
280,John Ross,CIN,WR,9,55.76,
281,Chris Conley,JAC,WR,10,55.31,
282,Jordan Wilkins,IND,RB,6,53.7,
283,Darrel Williams,KC,RB,12,53.69,
284,Lee Smith,BUF,TE,6,45.34,
285,Brandon Powell,DET,WR,5,54.28,
286,Demarcus Robinson,KC,WR,12,54.06,
287,Travis Benjamin,LAC,WR,12,54.0,
288,Taywan Taylor,TEN,WR,11,53.23,
289,Tyler Higbee,LAR,TE,9,44.08,
290,Rhett Ellison,NYG,TE,11,44.07,
291,Andre Ellington,TB,RB,7,52.04,
292,Scott Simonson,NYG,TE,11,43.99,
293,Justin Hardy,ATL,WR,9,52.9,
294,Benjamin Watson,NE,TE,10,43.74,Suspension | Suspended until Week 5
295,Richie James,SF,WR,4,52.19,
296,James Washington,PIT,WR,7,52.17,
297,Raheem Mostert,SF,RB,4,51.12,Forearm | Questionable for Week 1
298,Matt LaCosse,NE,TE,10,42.74,
299,Brice Butler,MIA,WR,5,51.35,Leg | Questionable for Week 1
300,Michael Crabtree,FA,WR,,50.97,
301,Hayden Hurst,BAL,TE,8,42.33,
302,Geoff Swaim,JAC,TE,10,41.91,
303,Zach Pascal,IND,WR,6,49.95,
304,Jakeem Grant,MIA,WR,5,49.93,Achilles | Questionable for Week 1
305,Virgil Green,LAC,TE,12,41.31,
306,Marcell Ateman,OAK,WR,6,48.95,
307,Wayne Gallman,NYG,RB,11,47.9,
308,Maurice Harris,NE,WR,10,48.64,
309,Deontay Burnett,NYJ,WR,4,48.59,
310,Austin Carr,NO,WR,9,48.31,
311,James Williams,FA,RB,,47.36,
312,Levine Toilolo,SF,TE,4,39.86,
313,Ryan Grant,OAK,WR,6,47.98,
314,LeGarrette Blount,FA,RB,,47.08,
315,Dwayne Washington,NO,RB,9,46.55,
