Rank,Name,Team,Position,Bye,Point Prediction,Injury Report
123,Anthony Sherman,KC,RB,12,30.81,
124,Zach Line,NO,RB,9,29.83,
125,Ronald Jones,TB,RB,7,29.15,
126,Elijhaa Penny,NYG,RB,11,28.48,
127,Corey Grant,FA,RB,,27.66,
128,C.J. Prosise,SEA,RB,11,27.06,Hamstring | Questionable for Week 1
129,Jeremy Hill,FA,RB,,25.41,
130,Andy Janovich,DEN,RB,10,23.06,
131,Kenjon Barner,ATL,RB,9,21.24,
132,J.D. McKissic,SEA,RB,11,19.46,
133,Patrick DiMarco,BUF,RB,6,18.47,
134,Darius Jackson,DAL,RB,8,18.02,
135,Jamize Olawale,DAL,RB,8,17.25,
136,Kenneth Farrow,MIA,RB,5,17.18,
137,Benny Cunningham,JAC,RB,10,16.79,
138,Mark Walton,MIA,RB,5,16.16,
139,T.J. Logan,ARI,RB,12,11.64,
140,Mike Boone,MIN,RB,12,11.09,
141,David Fluellen,TEN,RB,11,9.69,
142,Roc Thomas,FA,RB,,5.5,
143,Dontrell Hilliard,CLE,RB,7,4.72,
144,Benny Snell Jr.,PIT,RB,7,0,
145,Boston Scott,PHI,RB,10,0,
146,Bruce Anderson,TB,RB,7,0,
147,Chris Warren III,OAK,RB,6,0,
148,CJ Ham,MIN,RB,12,0,
149,Derrius Guice,WAS,RB,10,0,Knee - ACL | Questionable for Week 1
150,Rodney Anderson,CIN,RB,9,0,Knee - ACL | Questionable for Week 1
151,Sony Michel,NE,RB,10,0,Knee | Physically Unable to Perform
152,Tony Pollard,DAL,RB,8,0.0,
